species,year_first_described,first_paper_reference,first_paper_title,abstract,title_abstract,foreign,hosts,infection_site,spore_length_range,spore_width_range,spore_length_avg,spore_width_avg,spore_shape,locality,nucleus,pt_max,pt_min,pt_avg,pt_coils_range,pt_coils_avg,all_references,num_papers
Unnamed Nosema sp. 2 (2),2002,"Choi JY, Kim JG, Choi YC, Goo TW, Chang JH, Je YH, et al. Nosema sp. isolated from cabbage white butterfly (Pieris rapae) collected in Korea. Journal of Microbiology. 2002;40:199–204.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2. Yaman M, Bekircan C, Radek R, Linde A. Nosema pieriae sp. n. (Microsporida, Nosematidae): A new microsporidian pathogen of the cabbage butterfly Pieris brassicae L. (Lepidoptera: Pieridae). Acta Protozool. 2014;53:223–32.",2
Unnamed Nosema sp. 3,2006,"Johny S, Kanginakudru S, Muralirangan MC, Nagaraju J. Morphological and molecular characterization of a new microsporidian (Protozoa: Microsporidia) isolated from Spodoptera litura (Fabricius) (Lepidoptera: Noctuidae). Parasitol. Cambridge University Press; 2006;132:803–14.",Morphological and molecular characterization of a new microsporidian (Protozoa: Microsporidia) isolated from Spodoptera litura (Fabricius) (Lepidoptera: Noctuidae),"A microsporidium was isolated from larvae of Spodoptera litura (Fabricius) collected from Tamil Nadu, India. This microsporidian species is monomorphic, disporous and develops in direct contact with the cytoplasm of the host cell. The nuclear configuration of merogonic and sporogonic stages was diplokaryotic. The merogonic proliferative stage was unusual that normal development with 1, 2 and 4 binucleated forms were common, while large multinucleate meronts containing 8 and 12 small compact horseshoe-like diplokaryotic nuclei were also observed. The fresh spores were typically ovocylindrical in shape, with a mean size of 3·91×1·91 μm and the polar filament length was ~90 μm. Infection was systemic with mature spores produced in the midgut, nervous tissue, muscles, labial glands, gonads, tracheae, epidermis, Malpighian tubules and, most extensively, fat body tissues. The new isolate was highly pathogenic to S. litura larvae. Host specificity tests performed on 37 non-target hosts of 5 different insect orders revealed that the new isolate is pathogenic only to lepidopteran insects. We sequenced the 16S small subunit rRNA (SSU rRNA) gene of the isolate and compared it with 72 non-redundant microsporidian sequences from the GenBank. Based on the light microscopic studies and phylogenetic analyses, the new isolate is assigned to the genus Nosema. Significant differences in the SSU rRNA sequence were identified when compared with the type species Nosema bombycis and other closely related species viz., Nosema spodopterae. Structural differences were also observed in the 16S SSU rRNA between the new isolate and the two above-mentioned microsporidian pathogens. We conclude that the microsporidian isolate reported here is distinctly different from the other known species and is likely to be a new species.","Morphological and molecular characterization of a new microsporidian (Protozoa: Microsporidia) isolated from Spodoptera litura (Fabricius) (Lepidoptera: Noctuidae). A microsporidium was isolated from larvae of Spodoptera litura (Fabricius) collected from Tamil Nadu, India. This microsporidian species is monomorphic, disporous and develops in direct contact with the cytoplasm of the host cell. The nuclear configuration of merogonic and sporogonic stages was diplokaryotic. The merogonic proliferative stage was unusual that normal development with 1, 2 and 4 binucleated forms were common, while large multinucleate meronts containing 8 and 12 small compact horseshoe-like diplokaryotic nuclei were also observed. The fresh spores were typically ovocylindrical in shape, with a mean size of 3·91×1·91 μm and the polar filament length was ~90 μm. Infection was systemic with mature spores produced in the midgut, nervous tissue, muscles, labial glands, gonads, tracheae, epidermis, Malpighian tubules and, most extensively, fat body tissues. The new isolate was highly pathogenic to S. litura larvae. Host specificity tests performed on 37 non-target hosts of 5 different insect orders revealed that the new isolate is pathogenic only to lepidopteran insects. We sequenced the 16S small subunit rRNA (SSU rRNA) gene of the isolate and compared it with 72 non-redundant microsporidian sequences from the GenBank. Based on the light microscopic studies and phylogenetic analyses, the new isolate is assigned to the genus Nosema. Significant differences in the SSU rRNA sequence were identified when compared with the type species Nosema bombycis and other closely related species viz., Nosema spodopterae. Structural differences were also observed in the 16S SSU rRNA between the new isolate and the two above-mentioned microsporidian pathogens. We conclude that the microsporidian isolate reported here is distinctly different from the other known species and is likely to be a new species.",FALSE,Spodoptera litura,midgut; nervous; muscle; labial glands; gonadal; epidermal; tracheae; Malphigian; adipose,3.91 ± 0.0123 um (fresh),1.91 ± 0.0143 um (fresh),3.91 ± 0.0123 um (fresh),1.91 ± 0.0143 um (fresh),ovocylindrical,India,2,NA,NA,90,NA,NA,"1. Johny S, Kanginakudru S, Muralirangan MC, Nagaraju J. Morphological and molecular characterization of a new microsporidian (Protozoa: Microsporidia) isolated from Spodoptera litura (Fabricius) (Lepidoptera: Noctuidae). Parasitol. Cambridge University Press; 2006;132:803–14.",1
Unnamed Nosema sp. 506 (1),2000,"Inglis GD, Lawrence AM, Davis FM. Pathogens Associated with Southwestern Corn Borers and Southern Corn Stalk Borers (Lepidoptera: Crambidae). J Econ Entomol. Oxford Academic; 2000;93:1619–26.",Pathogens Associated with Southwestern Corn Borers and Southern Corn Stalk Borers (Lepidoptera: Crambidae),"A study was undertaken to isolate entomopathogens of southwestern corn borer, Diatraea grandiosella Dyer, and southern corn stalk borer, Diatraea crambidoides (Grote). Field- collected diapausing larvae of southwestern corn borer (three sites in Mississippi) and southern corn stalk borer (one site in North Carolina), and a laboratory strain of D. grandiosella in the diapause state were maintained in a simulated winter followed by a simulated spring environment. Few larvae (#6%) collected from any of the Þeld sites died in the winter environment, and most insect mortality (11Ð25%) occurred after transfer of the larvae to the simulated spring environment. Mortality during the simulated spring period differed among the collection sites, and the highest mortality was recorded for southwestern corn borers from Washington County (25%), followed by Marshall (16%) and Oktibbeha (11%) Counties. A high level of mortality was also observed in southern corn stalk borers during the simulated spring period (27%). No viruses were observed, but a number of bacteria, microsporidia, and fungi were isolated from both southwestern corn borer and southern corn stalk borer larvae and pupae. In most instances, numerous bacterial taxa were isolated from cadavers, but on some occasions a single taxon predominated. The most prevalent bacterial taxon from larval and pupal cadavers was Enterococcus faecalis (Andrewes & Horder) Schleifer & Kilpper-Balz, but Bacillus spp., Pseudomonas aeruginosa (Schroeter) Migula, and Serratia marcescens Bizio were frequently isolated as well. Few fungi (1Ð7%) were recovered from southwestern corn borer and southern corn stalk borer larvae and pupae. The most common entomopathogenic taxon isolated was Beauveria bassiana (Balsamo) Vuillemin from southern corn stalk borer larvae. Microsporidia were not isolated from southern corn stalk borers. However, Nosema spp. were isolated from southwestern corn borer cadavers from Washington (15%), Marshall (1%), and Oktibbeha (3%) Counties in Mississippi. In addition, we observed parasitism of southern corn stalk borer larvae by Macrocentrus cingulum Reinhard (Hymenoptera: Braconidae). No parasitism of southwestern corn borers was observed. Isolates of Bacillus, Beauveria, Entercoccus, Nosema, Pseudomonas and Serratia were all pathogenic to southwestern corn borer larvae under controlled environmental conditions, and with the exception of B. bassiana, these are novel pathogens of Diatraea corn borers.","Pathogens Associated with Southwestern Corn Borers and Southern Corn Stalk Borers (Lepidoptera: Crambidae). A study was undertaken to isolate entomopathogens of southwestern corn borer, Diatraea grandiosella Dyer, and southern corn stalk borer, Diatraea crambidoides (Grote). Field- collected diapausing larvae of southwestern corn borer (three sites in Mississippi) and southern corn stalk borer (one site in North Carolina), and a laboratory strain of D. grandiosella in the diapause state were maintained in a simulated winter followed by a simulated spring environment. Few larvae (#6%) collected from any of the Þeld sites died in the winter environment, and most insect mortality (11Ð25%) occurred after transfer of the larvae to the simulated spring environment. Mortality during the simulated spring period differed among the collection sites, and the highest mortality was recorded for southwestern corn borers from Washington County (25%), followed by Marshall (16%) and Oktibbeha (11%) Counties. A high level of mortality was also observed in southern corn stalk borers during the simulated spring period (27%). No viruses were observed, but a number of bacteria, microsporidia, and fungi were isolated from both southwestern corn borer and southern corn stalk borer larvae and pupae. In most instances, numerous bacterial taxa were isolated from cadavers, but on some occasions a single taxon predominated. The most prevalent bacterial taxon from larval and pupal cadavers was Enterococcus faecalis (Andrewes & Horder) Schleifer & Kilpper-Balz, but Bacillus spp., Pseudomonas aeruginosa (Schroeter) Migula, and Serratia marcescens Bizio were frequently isolated as well. Few fungi (1Ð7%) were recovered from southwestern corn borer and southern corn stalk borer larvae and pupae. The most common entomopathogenic taxon isolated was Beauveria bassiana (Balsamo) Vuillemin from southern corn stalk borer larvae. Microsporidia were not isolated from southern corn stalk borers. However, Nosema spp. were isolated from southwestern corn borer cadavers from Washington (15%), Marshall (1%), and Oktibbeha (3%) Counties in Mississippi. In addition, we observed parasitism of southern corn stalk borer larvae by Macrocentrus cingulum Reinhard (Hymenoptera: Braconidae). No parasitism of southwestern corn borers was observed. Isolates of Bacillus, Beauveria, Entercoccus, Nosema, Pseudomonas and Serratia were all pathogenic to southwestern corn borer larvae under controlled environmental conditions, and with the exception of B. bassiana, these are novel pathogens of Diatraea corn borers.",FALSE,Diatraea grandiosella (1); Ostrinia nubilalis (2); Diatraea crambidoides (3),egg; ovarian,2.9-3.5 um,1.6-2.5 um,3.2 um,2.05 um,ellipsoid,USA (MS),NA,NA,NA,NA,11,11,"1. Inglis GD, Lawrence AM, Davis FM. Pathogens Associated with Southwestern Corn Borers and Southern Corn Stalk Borers (Lepidoptera: Crambidae). J Econ Entomol. Oxford Academic; 2000;93:1619–26.",2
Unnamed Nosema sp. 506 (2),2000,"Inglis GD, Lawrence AM, Davis FM. Pathogens Associated with Southwestern Corn Borers and Southern Corn Stalk Borers (Lepidoptera: Crambidae). J Econ Entomol. Oxford Academic; 2000;93:1619–26.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2. Inglis GD, Lawrence AM, Davis FM. Impact of a Novel Species of Nosema on the Southwestern Corn Borer (Lepidoptera: Crambidae). J Econ Entomol. Oxford Academic; 2003;96:12–20.",2
Unnamed Pleistophora sp.,2009,"Abdel-Ghaffar F, Bashtar A-R, Mehlhorn H, Al-Rasheid K, Al-Olayan E, Koura E, et al. Ultrastructure, development, and host–parasite relationship of a new species of the genus Pleistophora—a microsporidian parasite of the marine fish Epinephelus chlorostignei. Parasitol Res. 2009;106:39–46.","ltrastructure, development, and host–parasite relationship of a new species of the genus Pleistophora—a microsporidian parasite of the marine fish Epinephelus chlorostignei","The life cycle of a new microsporidian of the genus Pleistophora is described. This parasite infects the epithelial cells of the gut and the peritoneal cavity of the Red Sea fish, Epinephelus chlorostignei. All stages develop within a special structure, the sporophorocyst, which is covered by a thick dense wall. This wall grows along with the growth of the parasites inside. Meronts are uni- to binucleate, which divide and constantly give rise to sporonts. During transition to sporonts, the cell border of the meronts increases its thickness, temporarily featuring thick irregular projections. Eventually, a uniform thick sporont wall is formed; then, the sporont cells detach themselves from the wall (future wall of the sporophorous vesicle, SPV) and start a series of divisions to produce sporoblasts. The SPV wall is compact, has no pores, and consists of two layers. Mature spores measure about 2.0 × 1.8 µm. They possess a polar filament with 20–28 coils, a posterior vacuole, and a polaroplast made up of an outer part of dense and closely spaced lamellae encircling an inner part of widely spaced lamellae. All morphological and ultrastructural features indicate that the described microsporidian parasite belongs to the genus Pleistophora.","ltrastructure, development, and host–parasite relationship of a new species of the genus Pleistophora—a microsporidian parasite of the marine fish Epinephelus chlorostignei. The life cycle of a new microsporidian of the genus Pleistophora is described. This parasite infects the epithelial cells of the gut and the peritoneal cavity of the Red Sea fish, Epinephelus chlorostignei. All stages develop within a special structure, the sporophorocyst, which is covered by a thick dense wall. This wall grows along with the growth of the parasites inside. Meronts are uni- to binucleate, which divide and constantly give rise to sporonts. During transition to sporonts, the cell border of the meronts increases its thickness, temporarily featuring thick irregular projections. Eventually, a uniform thick sporont wall is formed; then, the sporont cells detach themselves from the wall (future wall of the sporophorous vesicle, SPV) and start a series of divisions to produce sporoblasts. The SPV wall is compact, has no pores, and consists of two layers. Mature spores measure about 2.0 × 1.8 µm. They possess a polar filament with 20–28 coils, a posterior vacuole, and a polaroplast made up of an outer part of dense and closely spaced lamellae encircling an inner part of widely spaced lamellae. All morphological and ultrastructural features indicate that the described microsporidian parasite belongs to the genus Pleistophora.",FALSE,Epinephelus chlorostignei,NA,2.0 ± 0.5 um (fresh),1.8 ± 0.2 um (fresh),2.0 ± 0.5 um (fresh),1.8 ± 0.2 um (fresh),"oval; pyriform;
ellipsoid",Egypt,1,NA,NA,NA,20-28,24,"1. Abdel-Ghaffar F, Bashtar A-R, Mehlhorn H, Al-Rasheid K, Al-Olayan E, Koura E, et al. Ultrastructure, development, and host–parasite relationship of a new species of the genus Pleistophora—a microsporidian parasite of the marine fish Epinephelus chlorostignei. Parasitol Res. 2009;106:39–46.",1
Unnamed sp.,1993,"Voronin V. The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura. Parazitologiya. 1993;27:148–54.","The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura","The ultrastructure of the octosporous microsporidium Toxopora volgae gen. n., sp. n. is studied. In the beginning of sporogony there is diplocaryon. Stages of sporogony are limited by thin and fragile envelope of the sporophorous vesicle. The C-from, 0.-0.8 times 6-8 mm l on spores have one elongated nucleus, a layered exospore and a polar tube of unusual construction. The polaroplast consists of two parts - anterior closely paked lamellae and posterior tube/chambered. The microsporidium is compared to Toxoglugea microsporidia. The taxonomic relations between the genera Toxoglugea and Toxospora are discussed.","The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura. The ultrastructure of the octosporous microsporidium Toxopora volgae gen. n., sp. n. is studied. In the beginning of sporogony there is diplocaryon. Stages of sporogony are limited by thin and fragile envelope of the sporophorous vesicle. The C-from, 0.-0.8 times 6-8 mm l on spores have one elongated nucleus, a layered exospore and a polar tube of unusual construction. The polaroplast consists of two parts - anterior closely paked lamellae and posterior tube/chambered. The microsporidium is compared to Toxoglugea microsporidia. The taxonomic relations between the genera Toxoglugea and Toxospora are discussed.",FALSE,Hypera postica,hindgut; fat body; Malpighian tubules; salivary gland tissue (larva),2.3 - 3.1,0.8 - 1.2,2.7 ± 0.2,1 ± 0.1,rod-shaped,U.S.A. (Illinois),NA,NA,NA,NA,NA,NA,"Voronin V. The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura. Parazitologiya. 1993;27:148–54.",1
Unnamed Vairimorpha sp.,2003,"Mewis I, Kleespies RG, Ulrichs C, Schnitzler WH. First detection of a microsporidium in the crucifer pest Hellula undalis (Lepidoptera: Pyralidae)—a possible control agent? Biol Control. Elsevier Science; 2003;26:202–8.",First detection of a microsporidium in the crucifer pest Hellula undalis (Lepidoptera: Pyralidae)—a possible control agent?,"For the first time, a microsporidian infection was observed in the pest species Hellula undalis (Lepidoptera: Pyralidae) in crucifer fields in Nueva–Ecija, Philippines. Because H. undalis is difficult to control by chemical insecticides and microbiological control techniques have not been established, we investigated the biology, the pathogenicity and transmission of this pathogen found in H. undalis. An average of 16% of larvae obtained from crucifer fields in Nueva–Ecija displayed microsporidian infections and 75% of infected H. undalis died during larval development. Histopathological studies revealed that the infection is initiated in the midgut and then spreads to all organs. The microsporidium has two different sporulation sequences: a disporoblastic development producing binucleate free mature spores and an octosporoblastic development forming eight uninucleate spores. These two discrete life cycles imply its taxonomic assignment to the genus Vairimorpha. The size of the binucleate, diplokaryotic spores as measured on Giemsa-stained smears was 3.56±0.29μm in length and 2.18±0.21μm in width, whereas the uninucleate octospores measured 2.44±0.20×1.64±0.14μm. The microsporidium was orally and probably also transovarially transmitted. Laboratory infection tests by feeding spores on artificial diet to 3rd instars resulted in 100% infection with a final mortality of 80%. Most larvae died during larval development and 40% of them died 3 days after spore ingestion. This microsporidium shows potential for microbiological pest management.","First detection of a microsporidium in the crucifer pest Hellula undalis (Lepidoptera: Pyralidae)—a possible control agent?. For the first time, a microsporidian infection was observed in the pest species Hellula undalis (Lepidoptera: Pyralidae) in crucifer fields in Nueva–Ecija, Philippines. Because H. undalis is difficult to control by chemical insecticides and microbiological control techniques have not been established, we investigated the biology, the pathogenicity and transmission of this pathogen found in H. undalis. An average of 16% of larvae obtained from crucifer fields in Nueva–Ecija displayed microsporidian infections and 75% of infected H. undalis died during larval development. Histopathological studies revealed that the infection is initiated in the midgut and then spreads to all organs. The microsporidium has two different sporulation sequences: a disporoblastic development producing binucleate free mature spores and an octosporoblastic development forming eight uninucleate spores. These two discrete life cycles imply its taxonomic assignment to the genus Vairimorpha. The size of the binucleate, diplokaryotic spores as measured on Giemsa-stained smears was 3.56±0.29μm in length and 2.18±0.21μm in width, whereas the uninucleate octospores measured 2.44±0.20×1.64±0.14μm. The microsporidium was orally and probably also transovarially transmitted. Laboratory infection tests by feeding spores on artificial diet to 3rd instars resulted in 100% infection with a final mortality of 80%. Most larvae died during larval development and 40% of them died 3 days after spore ingestion. This microsporidium shows potential for microbiological pest management.",FALSE,Hellula undalis,midgut; adipose; Malphigian; hypodermal; muscle; gonadal,"3.56 ± 0.29 um (c1; fixed),
2.44 ± 0.20 um (c2; fixed)","2.18 ± 0.21 um (c1; fixed),
1.64 ± 0.14 um (c2; fixed)","3.56 ± 0.29 um (c1, fixed); 2.44 ± 0.20 um (c2, fixed)","2.18 ± 0.21 um (c1, fixed); 1.64 ± 0.14 um (c2, fixed)","oval (c1, c2)",Philippines,2 (c1); 1 (c2),NA,NA,NA,NA,NA,"1. Mewis I, Kleespies RG, Ulrichs C, Schnitzler WH. First detection of a microsporidium in the crucifer pest Hellula undalis (Lepidoptera: Pyralidae)—a possible control agent? Biol Control. Elsevier Science; 2003;26:202–8.",1
Unnamed Vittaforma-like sp.,2003,"Sulaiman IM, Matos O, Lobo ML, Xiao L. Identification of a New Microsporidian Parasite Related to Vittaforma corneae in HIV-Positive and HIV-Negative Patients from Portugal. J Eukaryot Microbiol. 2003;50:586–90.",Identification of a New Microsporidian Parasite Related to Vittaforma corneae in HIV-Positive and HIV-Negative Patients from Portugal,"Fecal samples from 22 HIV-positive and 3 HIV-negative patients from Portugal with symptomatic diarrhea were diagnosed positive for microsporidia by microscopy, with most parasites detected significantly bigger than Enterocytozoon bieneusi and Encephalitozoon spp. Sequence characterization of the small subunit (SSU) rRNA gene identified a microsporidian parasite with 96% homology to two published Vittaforma corneae sequences. Phylogenetic analysis confirmed the genetic relatedness of this new microsporidian parasite to Vittaforma corneae as well as Cystosporogenes operophterae. Results of the study demonstrate the presence of a new human-pathogenic microsporidian species, which is responsible for significant number of infections in HIV-positive and HIV-negative patients in Portugal.","Identification of a New Microsporidian Parasite Related to Vittaforma corneae in HIV-Positive and HIV-Negative Patients from Portugal. Fecal samples from 22 HIV-positive and 3 HIV-negative patients from Portugal with symptomatic diarrhea were diagnosed positive for microsporidia by microscopy, with most parasites detected significantly bigger than Enterocytozoon bieneusi and Encephalitozoon spp. Sequence characterization of the small subunit (SSU) rRNA gene identified a microsporidian parasite with 96% homology to two published Vittaforma corneae sequences. Phylogenetic analysis confirmed the genetic relatedness of this new microsporidian parasite to Vittaforma corneae as well as Cystosporogenes operophterae. Results of the study demonstrate the presence of a new human-pathogenic microsporidian species, which is responsible for significant number of infections in HIV-positive and HIV-negative patients in Portugal.",FALSE,Homo sapiens,NA,1.8-2.6 um,1.0-1.4 um,2.2 um,1.2 um,NA,Portugal,NA,NA,NA,NA,NA,NA,"1. Sulaiman IM, Matos O, Lobo ML, Xiao L. Identification of a New Microsporidian Parasite Related to Vittaforma corneae in HIV-Positive and HIV-Negative Patients from Portugal. J Eukaryot Microbiol. 2003;50:586–90.",1
Vairimorpha austropotamobii,2018,"Pretto T, Montesi F, Ghia D, Berton V, Abbadi M, Gastaldelli M, et al. Ultrastructural and molecular characterization of Vairimorpha austropotamobii sp. nov. (Microsporidia: Burenellidae) and Thelohania contejeani (Microsporidia: Thelohaniidae), two parasites of the white-clawed crayfish, Austropotamobius pallipes complex (Decapoda: Astacidae). Journal of Invertebrate Pathology. 2018;151:59–75.","Ultrastructural and molecular characterization of Vairimorpha austropotamobii sp. nov. (Microsporidia: Burenellidae) and Thelohania contejeani (Microsporidia: Thelohaniidae), two parasites of the white-clawed crayfish, Austropotamobius pallipes complex (Decapoda: Astacidae)","The microsporidiosis of the endangered white-clawed crayfish Austropotamobius pallipes complex has generally been attributed to only one species, Thelohania contejeani, the agent of porcelain disease. Species identification was mostly assessed by macroscopic examination or microscopic evaluation of muscle samples rather than by molecular or ultrastructural analyses. A survey conducted on A. pallipes complex populations in Northern Italy highlighted the presence of two different microsporidia causing similar muscular lesions, T. contejeani and an undescribed octosporoblastic species Vairimorpha austropotamobii sp. nov. Mature spores and earlier developmental stages of V. austropotamobii sp. nov. were found within striated muscle cells of the thorax, abdomen, and appendages of the crayfish. Only octosporoblastic sporogony within sporophorous vesicles (SPVs) was observed. Diplokaryotic sporonts separated into two uninucleate daughter cells, which gave rise to a rosette-shaped plasmodium, and eight uninucleate spores were produced within the persistent SPV. Ultrastructural features of stages in the octosporoblastic sequence were similar to those described for Vairimorpha necatrix, the type species. Mature spores were pyriform in shape and an average of 3.9 × 2.2 µm in size. The polar filament was coiled 11–14 times, lateral to the posterior vacuole. The small subunit ribosomal RNA gene (SSU rRNA) and the large subunit RNA polymerase II gene (RPB1) of V. austropotamobii sp. nov. were sequenced and compared with other microsporidia. The highest sequence identity of SSU rRNA (99%) and RPB1 (74%) genes was with the amphipod parasite Nosema granulosis and subsequently with V. cheracis, which infects the Australian yabby Cherax destructor. In our work we discuss about the reasons for placing this new species in the genus Vairimorpha. In addition, we provide for T. contejeani a RPB1 gene sequence, supplemental sequences of SSU rRNA gene and ultrastructural details of its sporogony in the host A. pallipes complex.","Ultrastructural and molecular characterization of Vairimorpha austropotamobii sp. nov. (Microsporidia: Burenellidae) and Thelohania contejeani (Microsporidia: Thelohaniidae), two parasites of the white-clawed crayfish, Austropotamobius pallipes complex (Decapoda: Astacidae). The microsporidiosis of the endangered white-clawed crayfish Austropotamobius pallipes complex has generally been attributed to only one species, Thelohania contejeani, the agent of porcelain disease. Species identification was mostly assessed by macroscopic examination or microscopic evaluation of muscle samples rather than by molecular or ultrastructural analyses. A survey conducted on A. pallipes complex populations in Northern Italy highlighted the presence of two different microsporidia causing similar muscular lesions, T. contejeani and an undescribed octosporoblastic species Vairimorpha austropotamobii sp. nov. Mature spores and earlier developmental stages of V. austropotamobii sp. nov. were found within striated muscle cells of the thorax, abdomen, and appendages of the crayfish. Only octosporoblastic sporogony within sporophorous vesicles (SPVs) was observed. Diplokaryotic sporonts separated into two uninucleate daughter cells, which gave rise to a rosette-shaped plasmodium, and eight uninucleate spores were produced within the persistent SPV. Ultrastructural features of stages in the octosporoblastic sequence were similar to those described for Vairimorpha necatrix, the type species. Mature spores were pyriform in shape and an average of 3.9 × 2.2 µm in size. The polar filament was coiled 11–14 times, lateral to the posterior vacuole. The small subunit ribosomal RNA gene (SSU rRNA) and the large subunit RNA polymerase II gene (RPB1) of V. austropotamobii sp. nov. were sequenced and compared with other microsporidia. The highest sequence identity of SSU rRNA (99%) and RPB1 (74%) genes was with the amphipod parasite Nosema granulosis and subsequently with V. cheracis, which infects the Australian yabby Cherax destructor. In our work we discuss about the reasons for placing this new species in the genus Vairimorpha. In addition, we provide for T. contejeani a RPB1 gene sequence, supplemental sequences of SSU rRNA gene and ultrastructural details of its sporogony in the host A. pallipes complex.",FALSE,Austropotamobius pallipes,skeletal muscle tissue of male and female host,3.9 ± 0.4 (fresh),2.2 ± 0.3 (fresh),3.9 ± 0.4 (fresh),2.2,pyriform,(Lombardy region) Italy,1,NA,NA,NA,11-14,12.5,"Pretto T, Montesi F, Ghia D, Berton V, Abbadi M, Gastaldelli M, et al. Ultrastructural and molecular characterization of Vairimorpha austropotamobii sp. nov. (Microsporidia: Burenellidae) and Thelohania contejeani (Microsporidia: Thelohaniidae), two parasites of the white-clawed crayfish, Austropotamobius pallipes complex (Decapoda: Astacidae). Journal of Invertebrate Pathology. 2018;151:59–75.",1
Vairimorpha ceraces,2005,"Wan, Yong-Ji, Liu R-H, Shen Z-R. A NEW MICROSPORIDIUM(MICROSPOREDIA,BURENELLIDAE) FROM THE INSECT OF LEPIDOPTERA, CERACE STIPATANA (WALKER)--《Acta Zootaxonomica Sinica》2005年02期. Acta Zootaxonomica Sinica. 30:291–4.","A NEW MICROSPORIDIUM(MICROSPOREDIA,BURENELLIDAE) FROM THE INSECT OF LEPIDOPTERA, CERACE STIPATANA (WALKER)","A previously undescribed microsporidum is isolated from the Cerace stipatana (Walker) in October 2000, in Langzhong, Sichuan Province, China. We describe this microsporidium as a new species of Vairimorpha, and name it as Vairimorpha ceraces sp.nov. According to taxonomy system (Sprague, 1992), it belongs to Phylum Microspora, Class Dihalophasea, Order meiodihalophasea and Family Burenellidae. Type Host. Cerace stipatana Walker (Lepidop- tera, Tortricoidea). Site of Infection. Infection to midgut epithelial and muscle cells, fat body, derma cell. Type Locality. Langzhong, Sichuan Province(32°N,105°E),China. Prevalence of infection. Seventy-five of three hundred larvae, Cerace stipatana examined were infected (25%). Diagnosis. Spore is oval in shape and 3.1μm±0.3μm(2.5-3.5μm)×1.6μm±0.2μm(1.5-1.9μm) in size. Binucleate spore with 10 to 12 coils of polar filaments,and uninucleate spore with 7 to 9 coils. The spore size and polar filament coil numbers are smaller than other species of Vairimorpha. Developmental cycle passes merogony stage and sporogony stage. Meronts are spherical in shape and multiplication depend the binary fission of meront nucleus. Sporonts are binucleate and fusiform. Sporogony includes not only octosporoblast form with uninucleate spore but also bispores form with binucleate spore. Interface feature between the microsporidium and host cytoplansm showing that meronts, sporont and bisporoblasts are face to face. But sporonts form octospores when it is enclosed by the sporphorous membrane. Type specimens. Syntypes with spores on slide (No. cq-20001012) and spores put into small glass bottle were deposited in the Southwest Agricultural University, Key Sericulture Laboratory of the Agricultural Ministry, China.","A NEW MICROSPORIDIUM(MICROSPOREDIA,BURENELLIDAE) FROM THE INSECT OF LEPIDOPTERA, CERACE STIPATANA (WALKER). A previously undescribed microsporidum is isolated from the Cerace stipatana (Walker) in October 2000, in Langzhong, Sichuan Province, China. We describe this microsporidium as a new species of Vairimorpha, and name it as Vairimorpha ceraces sp.nov. According to taxonomy system (Sprague, 1992), it belongs to Phylum Microspora, Class Dihalophasea, Order meiodihalophasea and Family Burenellidae. Type Host. Cerace stipatana Walker (Lepidop- tera, Tortricoidea). Site of Infection. Infection to midgut epithelial and muscle cells, fat body, derma cell. Type Locality. Langzhong, Sichuan Province(32°N,105°E),China. Prevalence of infection. Seventy-five of three hundred larvae, Cerace stipatana examined were infected (25%). Diagnosis. Spore is oval in shape and 3.1μm±0.3μm(2.5-3.5μm)×1.6μm±0.2μm(1.5-1.9μm) in size. Binucleate spore with 10 to 12 coils of polar filaments,and uninucleate spore with 7 to 9 coils. The spore size and polar filament coil numbers are smaller than other species of Vairimorpha. Developmental cycle passes merogony stage and sporogony stage. Meronts are spherical in shape and multiplication depend the binary fission of meront nucleus. Sporonts are binucleate and fusiform. Sporogony includes not only octosporoblast form with uninucleate spore but also bispores form with binucleate spore. Interface feature between the microsporidium and host cytoplansm showing that meronts, sporont and bisporoblasts are face to face. But sporonts form octospores when it is enclosed by the sporphorous membrane. Type specimens. Syntypes with spores on slide (No. cq-20001012) and spores put into small glass bottle were deposited in the Southwest Agricultural University, Key Sericulture Laboratory of the Agricultural Ministry, China.",TRUE,Cerace stipatana,Midgut epithelium; muscle; fat body; derma cells,NA,NA,3.1 ± 0.3,1.6 ± 0.2,Oval to Pyriform,China,"1 (c1, unclear how this matches with spore dimensions given); 2 (c2, unclear how this matches with spore dimensions given)",NA,NA,NA,7-9 (c1); 10-12 (c2),"8 (c1, unclear how this matches to spore dimensions); 11 (c2, unclear how this matches to spore dimensions)","Wan, Yong-Ji, Liu R-H, Shen Z-R. A NEW MICROSPORIDIUM(MICROSPOREDIA,BURENELLIDAE) FROM THE INSECT OF LEPIDOPTERA, CERACE STIPATANA (WALKER)--《Acta Zootaxonomica Sinica》2005年02期. Acta Zootaxonomica Sinica. 30:291–4.",1
