column,microsporidia_species,original_value,manually_corrected_value,reason_for_correction
Species Name,Unikaryon slaptonleyi,Unikaryon slaptonleyi,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Canningia sp.,Unnamed Canningia sp.,Canningia sp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Enterocytozoon sp.,Unnamed Enterocytozoon sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Enterospora sp.,Unnamed Enterospora sp.,Enterospora sp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microspordium in bearded dragons,unnamed microspordium in bearded dragons,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Microsporidia sp. 1,Unnamed Microsporidia sp. 1,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Microsporidia sp. 2,Unnamed Microsporidia sp. 2,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Microsporidia sp. 3,Unnamed Microsporidia sp. 3,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Microsporidia sp. 4,Unnamed Microsporidia sp. 4,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Microsporidia sp. A,Unnamed Microsporidia sp. A,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Microsporidia sp. B,Unnamed Microsporidia sp. B,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Microsporidia sp. NIK-5hm,Unnamed Microsporidia sp. NIK-5hm,microsporidian Sp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microsporidium (possibly Tricornia muhezae or Merocinta davidii),unnamed microsporidium,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microsporidium 1,unnamed microsporidium 1,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microsporidium 2,unnamed microsporidium 2,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microsporidium 3,unnamed microsporidium 3,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microsporidium in a parrot,unnamed microsporidium in a parrot,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microsporidium in Acrida turrita,unnamed microsporidium in Acrida turrita,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microsporidium in Agapornis roseicollis,unnamed microsporidium in Agapornis roseicollis,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microsporidium in gastrotrich,unnamed microsporidium in gastrotrich,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Microsporidium sp. C81 (Microsporidium sp. C81),Unnamed Microsporidium sp. C81,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Microsporidium sp. SH (Microsporidium sp. SH),Unnamed Microsporidium sp. SH,Microsporidium sp. SH,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Nosema sp. (possibly Endoreticulatus schubergi),Unnamed Nosema sp.,Nosema isolate,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Nosema sp. 1,Unnamed Nosema sp. 1,Nosema sp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Nosema sp. 2,Unnamed Nosema sp. 2,Nosema sp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Nosema sp. 3,Unnamed Nosema sp. 3,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Nosema sp. 506,Unnamed Nosema sp. 506,Nosema spp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Pleistophora sp.,Unnamed Pleistophora sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed sp.,Unnamed sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Vairimorpha sp.,Unnamed Vairimorpha sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unnamed Vittaforma-like sp.,Unnamed Vittaforma-like sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Vairimorpha sp BM,Vairimorpha sp BM,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Vairimorpha sp. (authors proposed Nosema mesnili and Microsporidium mesnili be merged to this one species),Vairimorpha sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Vittaforma corneae (= Nosema corneum),Vittaforma corneae,Nosema corneum,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
all_references,Encephalitozoon hellem,"1. Black SS, Steinohrt LA, Bertucci DC, Rogers LB, Didier ES. Encephalitozoon hellem in budgerigars (Melopsittacus undulatus). Vet Pathol. 1997;34:189–98.
2. Pulparampil N, Graham D, Phalen D, Snowden K. Encephalitozoon hellem in two eclectus parrots (Eclectus roratus): identification from archival tissues. J Eukaryot Microbiol. 1998;45:651–5.
3. Suter C, Mathis A, Hoop R, Deplazes P. Encephalitozoon hellem infection in a yellow-streaked lory (Chalcopsitta scintillata) imported from Indonesia. Vet Rec. 1998;143:694–5.
4. Didier ES, Didier PJ, Friedberg DN, Stenson SM, Orenstein JM, Yee RW, et al. Isolation and characterization of a new human microsporidian, Encephalitozoon hellem (n. sp.), from three AIDS patients with keratoconjunctivitis. J Infect Dis. 1991;163:617–21.
5. Didier PJ, Didier ES, Orenstein JM, Shadduck JA. Fine structure of a new human microsporidian, Encephalitozoon hellem, in culture. J Protozool. 1991;38:502–7.","1. Didier ES, Didier PJ, Friedberg DN, Stenson SM, Orenstein JM, Yee RW, et al. Isolation and characterization of a new human microsporidian, Encephalitozoon hellem (n. sp.), from three AIDS patients with keratoconjunctivitis. J Infect Dis. 1991;163:617–21.
2. Didier PJ, Didier ES, Orenstein JM, Shadduck JA. Fine structure of a new human microsporidian, Encephalitozoon hellem, in culture. J Protozool. 1991;38:502–7.
3. Black SS, Steinohrt LA, Bertucci DC, Rogers LB, Didier ES. Encephalitozoon hellem in budgerigars (Melopsittacus undulatus). Vet Pathol. 1997;34:189–98.
4. Pulparampil N, Graham D, Phalen D, Snowden K. Encephalitozoon hellem in two eclectus parrots (Eclectus roratus): identification from archival tissues. J Eukaryot Microbiol. 1998;45:651–5.
5. Suter C, Mathis A, Hoop R, Deplazes P. Encephalitozoon hellem infection in a yellow-streaked lory (Chalcopsitta scintillata) imported from Indonesia. Vet Rec. 1998;143:694–5.",papers incorrectly listed by chronological order
all_references,Nosemoides syacii,"Walters HS, Kfir R. Development of Nosema partelli, new species (Protozoa: Microsporida: Nosematidae) in the stem borer Chilo partellus (Swinhoe) (Lepidoptera: Pyralidae). Afr Entomol. 1993;1:57–62.","Faye N, Toguebaye BS, Bouix G. Nosemoides syacii n. sp., a microsporidian parasite of the West African turbot Syacium micrurum Ranzani, 1840. Syst Parasitol. 1994;29:43–50.  ",papers incorrectly listed by chronological order
Date Identified,Chapmanium macrocystis,1983; 1975,1975; 1983,dates described incorrectly ordered
Date Identified,Nucleophaga amoebae,2014,1895,incorrect date of discovery given
Citation data,Nematocida parisii,"Zhang, G., Sachse, M., Prevost, M.-C., Luallen, R.J., Troemel, E.R., Felix, M.-A., 2016. A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes. PLoS Pathog 12, e1006093. https://doi.org/10.1371/journal.ppat.1006093

Troemel, E.R., Felix, M.-A., Whiteman, N.K., Barriere, A., Ausubel, F.M., 2008. Microsporidia are natural intracellular parasites of the nematode Caenorhabditis  elegans. PLoS Biol 6, 2736–2752. https://doi.org/10.1371/journal.pbio.0060309

Troemel, E.R., Felix, M.-A., Whiteman, N.K., Barriere, A., Ausubel, F.M., 2008. Microsporidia are natural intracellular parasites of the nematode Caenorhabditis  elegans. PLoS Biol 6, 2736–2752. https://doi.org/10.1371/journal.pbio.0060309","1. Troemel, E.R., Felix, M.-A., Whiteman, N.K., Barriere, A., Ausubel, F.M., 2008. Microsporidia are natural intracellular parasites of the nematode Caenorhabditis  elegans. PLoS Biol 6, 2736–2752.  https://doi.org/10.1371/journal.pbio.0060309
2. Zhang, G., Sachse, M., Prevost, M.-C., Luallen, R.J., Troemel, E.R., Felix, M.-A., 2016. A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes. PLoS Pathog 12, e1006093. https://doi.org/10.1371/journal.ppat.1006093","redundant sources listed, inconsistent formatting with rest of recorded citations in the dataset"
Date Identified,Nematocida parisii,2016,2008; 2016,original date of discovery was not recorded
