title_abstract,species,spore_shape,spore_shape_formatted,shapes_not_in_text,shapes_not_in_text_corrected
"Myositis associated with a newly described microsporidian, Trachipleistophora hominis, in a patient with AIDS. Microsporidia are zoonotic protozoa which were rare human pathogens prior to 1985, when Enterocytozoon bieneusi was described in human immunodeficiency virus-infected patients with chronic diarrhea. Another species, Encephalitozoon (Septata) intestinalis, is associated with diarrhea and chronic sinusitis, and approximately 25 cases have been reported in the literature. However, other microsporidial infections in human immunodeficiency virus-infected patients remain extremely rare. We report the first case of a Pleistophora sp.-like microsporidian infection presenting as a progressive severe myosotis associated with fever and weight loss. The organism was demonstrated by light microscopy and electron microscopy in corneal scrapings, skeletal muscle, and nasal discharge. Electron microscopy showed an electron-dense surface coat with ''sun-flare''-like projections surrounding all stages of development of meronts (two to four nuclei, dividing by binary fission), sporonts, and sporoblasts. Division of sporonts, in which sporonts separate from the thick outer coat, creating a sporophorous vesicle, is by binary fission, differentiating this organism from Pleistophora sp. The spore measures 4.0 by 2.5 mu m and has a rugose exospore. A new genus and species, Trachipleistophora hominis, has been established for this parasite. The patient was treated with albendazole, sulfadiazine, and pyrimethamine, and the clinical symptoms resolved.",Trachipleistophora hominis,ovoid,['ovoid'],{'ovoid'},
"Myospora metanephrops (n. g., n. sp.) from marine lobsters and a proposal for erection of a new order and family (Crustaceacida; Myosporidae) in the Class Marinosporidia (Phylum Microsporidia). Abstract In this study we describe, the first microsporidian parasite from nephropid lobsters. Metanephrops challengeri were captured from an important marine fishery situated off the south coast of New Zealand. Infected lobsters displayed an unusual external appearance and were lethargic. Histology was used to demonstrate replacement of skeletal and other muscles by merogonic and sporogonic stages of the parasite, while transmission electron microscopy revealed the presence of diplokaryotic meronts, sporonts, sporoblasts and spore stages, all in direct contact with the host sarcoplasm. Analysis of the ssrDNA gene sequence from the lobster microsporidian suggested a close affinity with Thelohania butleri, a morphologically dissimilar microsporidian from marine shrimps. Whilst morphological features of the lobster parasite are consistent with members of the family Nosematidae, molecular data place the parasite closer to members of the family Thelohanidae. Due to the contradiction between morphological and molecular taxonomic data, we propose the erection of a new genus in which the lobster parasite is the type species (Myospora metanephrops). Furthermore, we recommend the erection of a new family (Myosporidae) and a new order (Crustaceacida) to contain this genus. The taxonomic framework presented could be further applied to the re-classification of existing members of the Phylum Microsporidia.",Myospora metanephrops,Elongate,['elongate'],{'elongate'},
"Myosporidium merluccius n. g., n. sp. Infecting Muscle of Commercial Hake (Merluccius sp.) from Fisheries near Namibia. Abstract. A new species of Microsporidia classified to a new genus was observed in the trunk muscle of commercial hake (Merluccius capensis/paradoxus complex) from Namibian fisheries. Macroscopic examination revealed thin and dark filaments inserted among muscle fibers. Inside the filaments were many sporophorous vesicles with about 30–50 spores per vesicle. The shape of the spore was pyriform and the extruded polar filament was of moderate length (up to 4.29 μm, n=12). This new species of Microsporidia is described using macrophotography, microphotography, staining, and transmission electron microscopy (TEM), as well as molecular methods. Its 16S rRNA was found to be similar to that of Microsporidium prosopium Kent et al., 1999, while both sequences were quite different from 16S rRNA sequences known for other Microsporidia. Nevertheless, this new species is separated morphologically from M. prosopium by the presence of 11–12 anisofilar coils and the formation of the xenoma at the site of infection. Type species",Myosporidium merluccius,oval; pyriform,"['oval', 'pyriform']",{'oval'},
"Myrmecomorba nylanderiae gen. et sp. nov., a microsporidian parasite of the tawny crazy ant Nylanderia fulva. A new microsporidian genus and species, Myrmecomorba nylanderiae, is described from North American populations of the tawny crazy ant, Nylanderia fulva. This new species was found to be heterosporous producing several types of binucleate spores in both larval and adult stages and an abortive octosporoblastic sporogony in adult ants. While microsporidia are widespread arthropod parasites, this description represents only the fifth species described from an ant host. Molecular analysis indicated that this new taxon is phylogenetically closely allied to the microsporidian family Caudosporidae, a group known to parasitize aquatic black fly larvae. We report the presence of 3 spore types (Type 1 DK, Type 2 DK, and octospores) with infections found in all stages of host development and reproductive castes. This report documents the first pathogen infecting N. fulva, an invasive ant of considerable economic and ecological consequence.",Myrmecomorba nylanderiae,elongate-narrow (c1); elongate-oblong (c2); abberant (c3),"['elongate-narrow', 'elongate-oblong', 'abberant']","{'elongate-oblong', 'abberant', 'elongate-narrow'}",
"NEW SPECIES OF MICROSPORIDIA FROM AMPHIPODS OF THE DNIEPER BASIN. Three new species of Microsporidia from muscules of Orchestia bottae, Dikerogammarus villosus and Pontogammarus crassus of the Dnieper basin are described. Spores of Glugea orchestiae uninuclear, oval 4.35 (4.0—4.9) X 2.63 (2.3—3.0) mkm, in 4 spored sporophorous vesicles. Spores of Nosema dikerogammari binuclear, marrow-shaped 4.3 (3.7—4.8) X 1.9 (1.7—2.2) mkm. Polaroplast occupies 2/5 of the spore. Spores of N. pontogammari binuclear, oval 2.3 (2.1—2.8) X 1.5 (1.2—1.8) mkm. Polaroplast occupies 1/3 of the spore.",Nosema dikerogammari; Nosema pontogammari,rounded-cylindrical || oval,"['rounded-cylindrical', 'oval']",{'rounded-cylindrical'},
"NOTE ON NOSEMA AENESCENS SP. NOV. (MICROSPORA,NOSEMATIDAE),A PARASITE OF PYRRHALTA AENESCENS (FAIRMAIRE) (COLEOPTERA, CHRYSOMELIDAE). Nosema aenescens sp. nov. (P1. Ⅰ)Host, Site and Lesion (Natural) Pyrrhalta aenescens (F. ) adults, general infection; larvae, infection in midgut only, the infected tissue appears milky and yellowish;and P. lineola (F. ) ; (Experimental) Ostrinia furnacalis (G. ) larvae, infection in many tissues, the fool in silk glands appear whitish, glassy and hypertrophied with clear boundary, Heliothis armigera (H. ), H. assulta (G. ), Bombyx mori L. and Locusta migraturia manilensis (M. ); but Mythimna separata (W. ), Pieris rapae (L. ) and Clostera anadoreta (F. ) were refractory to the infection.Life Cycle Monomorphic. Meronts with 2, 4, or 8 nuclei in diplokaryon arrangement. Sporonts elongate with two diplokarya, give rise to two sporoblasts and then transform into two spores. In life cycle, all stages are in direct contact with the cytoplasm of the host cell with no sporophorous vesicle; but in some case, the spores in the vacuoles are compressed and form ""pseudocyst"", a term created by Hostounsky et Weiser (1973 ).Spore Fresh spores ellipsoidal, or slight curvate, 4. 67±0.51 ×2. 69 ±0. 33μm,length/breadth 1. 81 (n=50)' Polar filament isofilar normally arranged in 11 coils at angles of 68° to the axes of spores.Discussion The new species is closely allied to N. galerucellae described byToguebaye et al. (1989), a parasite in a elm leaf beetle, Galerucella luteola M. in France. Tissue specificity and spore shape and size of the new species are similar to N.galervcellae; but can be distinguished from the latter by having polar filament isofilar and distinct numbers of coils.Type locality Malianwa, Beijing. July, 1987.Deposition of type The type slides are deposited in the Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing.",Nosema aenescens,Ellipsoidal to slightly curvate,['ellipsoidal to slightly curvate'],{'ellipsoidal to slightly curvate'},ellipsoidal; curvate
"NOTES ON THREE NEW MICROSPORIDIA (PROTOZOA, MIC- ROSPORA) FROM SEMIOTHISA CINEREAR1A BREMER et GREY AND ARGYROGRAMMA AGNATA (STGR.) (INSECTA, LEPIDOPTERA). Three new species of microsporidia from two lepidopterous insects are described in this paper. The type slides are deposited in the Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing. Nosema temiothisae sp. nov.(pl. I, figs. 1-5)Host and Site: (Natural) Semiothisa cinercaria (B. et G.), General infection in all stages; (Experimental) Heliothis armigcra H., H. assulta G., larvae, infection in many tissues, most in midgut, Stilpnotia Candida Spodoptera litura F.,Bombyx mori L., Pieris rapae L., Agrotis ipsilon (H.) and Ostrinia furnocalis (G.); but Lymantria dispar L., Mythimna separata (W.) and Clostera enachoreta (F.) were refractory to the infection.Lesion Infected tissues appear white and hypertrophied, the foci of silk glands of the larvae of O. furnacalis appear cloudy or misty-white, with blurry boundary (fig. 5).Life Cycle Monomorphic. Schizonts consist of 2, 4 or 8 diplokarya forms, sporonts rhombic with 2 diplokarya. A sporont undergoes binary fission to produce 2 sporoblasts that transform into 2 spores (figs, 1-2).Spore When fresh, most were elongate pyriform with a mean size of 3.94±0.19×2.02± 0.16 μm (n = 50). The polar filament was normally arranged in 10-11 coils at angles of 70-80?to the axes of spores, with a mean length of :76.3±3.9 μm (n = 16) (fig. 3).Discussion N. semiothisae is distinct from other Nosema spp. of Lepidoptera by having elongate pyriform spores with the exception of N. wistmansi which also has elongate pyriform spores, but can be distinguished from the latter by having smaller spore size. In addition, N. semiothisae can infect the silk glands while the latter can not.Type locality Dongberwang, 39°9'N,116°4'E Beijing Sept. 1984Nosema aynatae sp. nov. (pl. Ⅱ, figs. 6-16)Host and Site (Natural) Argyrogramma agnata S., General infection in allstages; (Experimental) 0. furnacalis (G.), infection in all stages, many tissues except fat body; P. rapac L., Euproctis pseudoconspersa S., Cnaphalocrocis medinalis G., H, armigera H., H. assuha (G.), A. ipsilon (H.) M. separata (W.), S. Candida S., C. anachoreta (F.), S. litura F., B. mori L. L. dispar L. and Philosemia cythia ricinia D.Lesion The foci in silk glands and salivary glands appear snowywhite and hypertrophied with clear boundary (fig. 16). Infected fatbody in Euprociis pseudoconspersa was destroyed into granuliform.Life Cycle Monomorphic. Schizonts typically round with 2, 4 or 8 nuclei in diplokaryon arrangement, octonucleate lopsided forms possibly of pre-sporont stage, A sporont with two diplokarya gives rise to two sporoblasts (figs. 6-13).Spore Fresh spores ellipsoidal, with a minor tip at an end, 4.06±0.10×1.92 ± 0.15 μm (n = 50) (fig. 14). Polar filarment normally arranged in 13 coils, at angles of 70± to the axes of spores with a mean length of 67.1°3.0μm (n = 30) (fig. 15).Discussion In comparison of host range, tissue specificity and spore size, the new species is similar to other 5 Nosema spp. from Lepidoptera, namely, N. invadens, N. pereziodes, N. disstriae, N. fumiferanae and N. manierae, but can be distinguished from them by having irregular shaped schizonts and distinct ultrastructure in spore. N. invadens and N. pereziades can develop inflammatory responses to infection, N. disstriae and N. fumiferanae mainly infect the midgut, while N. agnatae differs from these habits.Type locality Zhongmou (34°7'N, 114.0°E), Henan Province, Sept. 1984.Microsporidium argyrogrammi sp. nov.(figs. 17-20)Host and Site (Natural) Argyrcgramma agnata (S.), Larvae, fatbody, which was entirely destroyed into granuliform.Life Cycle In 26°C, only monomorphic was seen. Schizont with two unpaired nuclei, sporonts with 2, 4 or 8 unpaired nuclei which produce 8 sporoblasts and transform into 8 uninucleate spores within a persist pansporoblast membrane (figs. 17-19)Spore: Fresh octospores ovoidal, 4.73±0.46×2.95±0.20μm. Polar filarment arranged in 17-18 coils with a uniform diameter throughout (fig. 20). Pansporoblasts spherical, 8-9 μm in diameter.Discussion This species seems to be a member of the",Microsporidium argyrogrammi; Nosema agnatae; Nosema semiothisae,Ovoidal || Ellipsoidal || Elongate-pyriform,"['ovoidal', 'ellipsoidal', 'elongate-pyriform']",{'elongate-pyriform'},pyriform
"Nadelspora canceri N. G., N. Sp., an Unusual Microsporidian Parasite of the Dungeness Crab, Cancer Magister. The microsporidium Nadelspora canceri n. g., n. sp., is described from the striated musculature of the Dungeness crab (Cancer magister) in Oregon, USA. The needle‐shaped spores were rounded anteriorly, tapered to a posterior point and measured 7.1–11.8 × 0.2–0.3 μm in fixed preparations. The extremely narrow spore diameter prevented observation of morphological details at the light microscopic level and ultrastructural details of mature spores were difficult to resolve. Meronts were not observed and the monokaryotic merozoites and sporonts were not contained within either parasitophorous or sporophorous vesicles. Sporonts were disporoblastic and gave rise to monokaryotic sporoblasts that became narrow and elongate as they developed into immature spores with a developing polar filament. The nucleus was not clearly resolved in mature spores and may have been surrounded by the lamellar polaroplast. The polar filament was of nearly uniform diameter throughout most of its length and ended abruptly about three‐fourths of the distance from the anterior end of the spore. Unusual spherical non‐membrane bound granules surrounded the polar filament in a spiral arrangement. The new microsporidium resembles members of the family Mrazekiidiae, but differs in lacking a diplokaryon at any stage. It is probably most closely related to Baculea daphniae from which it differs primarily by spore shape and size. The familial relationships of the genus Baculea have not been determined and it is proposed to include it with Nadelspora in the new family Nadelsporidae.",Nadelspora canceri,needle-shaped; elongate; cylindrical; extremely narrow; posterior tip,"['needle-shaped', 'elongate', 'cylindrical', 'extremely narrow', 'posterior tip']","{'cylindrical', 'needle-shaped', 'posterior tip'}",needle‐shaped
"New Family, Genus, and Species of Microsporida (Protozoa: Microsporida) from the Tropical Fire Ant, Solenopsis geminata (Fabricius) (Insecta: Formicidae)*. A new species of Microsporida, Burenella dimorpha sp. n., representing a new family, Burenellidae fam. n. and genus, is described on the basis of light‐ and electron‐microscope observations. The family is characterized by 2 sequences of sporogony, each sequence having morphologically different sporonts and spores. The parasite infects the tropical fire ant, Solenopsis geminata (Fabricius), producing distinct pathologic manifestations (clearing of the cuticle and eye malformation) and death in the pupal stage of development. Transmission of the infection per os to healthy S. geminata, to the Southern fire ant, Solenopsis xyloni McCook, and to the red and black imported fire ants, Solenopsis invicta Buren and Solenopsis richteri Forel, is reported.",Burenella dimorpha,coniform (NMB spores); oval (MB spores),"['coniform', 'oval']","{'coniform', 'oval'}",
"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs. Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",Amblyospora aestiva; Amblyospora certa; Amblyospora firma; Amblyospora media,ellipsoidal || ellipsoidal || ellipsoidal || ellipsoidal,"['ellipsoidal', 'ellipsoidal', 'ellipsoidal', 'ellipsoidal']",{'ellipsoidal'},
"New data on microsporidium Nosema dikerogammari. Ultrastructures of the microsporidium Nosema dikerogammari, the parasite of amphipods Dikerogammaris villosus, Chaetogammarus ischnus, and Pontogammarus crassus in Ukraine, are described. The diplocaryotic meronts, sporonts and spores, the lamellar polaroplast, the isofilar polar filament puck up to 7-8 coils with different angles, are the characteristics of N. dikerogammari.",Cucumispora dikerogammari (1),Elongate,['elongate'],{'elongate'},
"New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata). Three new species of microsporidia from freshwater bryozoans were investigated by microscopy and rDNA sequencing. These microsporidia and the previously described Nosema cristatellae have been ascribed to new genera, Pseudonosema gen. nov. for N. cristatellae from Cristatella mucedo, Trichonosema gen. nov. for Trichonosema pectinatellae sp. nov. from Pectinatella magnifica and Bryonosema gen. nov. for Bryonosema plumatellae sp. nov. from Plumatella nitens and for Bryonosema tuftyi sp. nov. from Plumatella sp. The new genera have been placed in a new family Pseudonosematidae with the following characters: diplokaryotic, disporoblastic and development in direct contact with host cell cytoplasm; spores of known species large with numerous polar tube coils; exospore dense with spiky extensions; or without spiky extensions and constructed of one or two layers; endospore and exospore thinned over the anchoring disc; anchoring disc ovoid with denser boundary around lucent interior penetrated by the inner core of the polar tube; polar sac small, umbrella-like; polar tube coils arranged as a single row anteriorly and posteriorly and as 2 or 3 rows in the middle; prominent reticulate Golgi system in sporoblasts and immature spores. Analysis of 16S rDNA by Baysian inference, maximum likelihood and parsimony placed all four species from bryozoans in one clade but the genera Trichonosema and Pseudonosema were separated from Bryonosema by the genera Janacekia and Bacillidium, which, on morphological grounds, cannot be included in the new family. The species are identified by morphological characters and their small subunit rDNA sequences.",Bryonosema plumatellae; Bryonosema tuftyi; Trichonosema pectinatellae,pyriform || pyriform || pyriform,"['pyriform', 'pyriform', 'pyriform']",{'pyriform'},
"New species of microsporidian Issia globulifera sp. n. (Nosematidae) in the malarial mosquito Anopheles maculipennis. A microsporidia, Issia globulifera sp. n., which has diplocaryotic stages during its whole developmental cycle and disporoblastic sporogony, is described. Spores are eggshaped, 3.6 X 2.4 mu in size. During sporogenesis at the hind pole of spores in the place of their contact a globule holding spores together is formed. Spores and globule are covered by a compact pansporoblastic membrane.",Issia globulifera (Senoma globulifera),egg-shaped,['egg-shaped'],{'egg-shaped'},eggshaped
"Nolleria pulicis N. Gen., N. Sp. (Microsporida: Chytridiopsidae), a Microsporidian Parasite of the Cat Flea, Ctenocephalides felis (Siphonaptera: Pulicidae). A new species of microsporidium, Nolleria pulicis, is described and named here from the cat flea, Ctenocephalides felis. The genus Nolleria is created and placed within the family Chytridiopsidae. The family is slightly modified to accommodate certain features of intracellular development seen in N. pulicis, which is otherwise very similar to other species in the family Chytridiopsidae. Sporulation is described from ultrastructural analysis of infected midgut epithelial cells of adult C. felis. The term “multiple division by vacuolation” is proposed for describing sporogony as it occurs in this species and certain related species of microsporidia. The probable mode of transmission and apparent absence of merogony are discussed",Nolleria pulicis,spherical; oval,"['spherical', 'oval']","{'oval', 'spherical'}",
"Nosema Aegypti n,Sp. (Microsporida) Hyperparasite of Procamallanus Elatensis, an Intestinal Nematode of Siganid Fishes from the Red Sea. During a survey of parasites of fishes from the Red Sea, Egypt, Nosema aegypti (Microsporidia) n. sp. was observed for the first time in the coelomic cavity and musculature of Procamallanus elatensis. Procamallanus elatensis is a common camallanid nematode infecting the digestive tract of siganid fishes in the Red Sea. During a recent survey (1993-1994) of parasites of fishes from the Red Sea, 69% of Siganus luridus (9/13) and 49% of Siganus rivulatus (38/78) were infected with P. Elatensis. Nosema aegypti was noted in most of the host tissues of one Nematode in different stages of development. Spores (1.5 to 2.5 μm long) were observed beneath the cuticle and in the musculature of the nematode. Both the polaroplast and diplokaryon spores are small for microsporidians. The schizonts are small, irregularly shaped cells with electron dense grains in their cytoplasm. Sporonts contain two elongated nuclei and mature spores are characterized by 9 to 10 coils of the polar filament. Only one nematode was infected with N. aegypti. This is the first record of Nosema in nematodes from siganid fishes.",Nosema aegypti,oval to spherical,['oval to spherical'],{'oval to spherical'},
"Nosema Calcarati n. Sp. (Microsporidia), a New Parasite of Pityogenes Calcaratus Eichhoff (Col., Scolytidae). A new microsporidian Nosemu culcuruti is described from larvae, pupae and adult bark beetles Pityogenes calcuratus. The reproductive organs (male and female gonads) were the principal site of infection. The morphology of some stages in the life cycle of this microsporidian is described by light and electron microscopy. The fine structure was similar to that which has been reported for other microsporidian parasites of the genus Nosemu, but there were singular features in the ultrastructure of the s ore, especially of the posterior vacuole. This was bipartite and surrounded by a layer perforatedty pores. Some data on prevalence of infection and host-parasite relationships are discussed.",Nosema calcarati,oval,['oval'],{'oval'},
"Nosema Euzeti Sp. n. and Gregarina Euzeti Sp. n., Two New Protozoan Parasites of a Mite Euzetes Seminulum (O. F. Miiller) (Acarina, Oribatei)",Nosema euzeti,elongate; oval,"['elongate', 'oval']","{'oval', 'elongate'}",
"Nosema Hylobii n. Sp. (Nosematidae, Microsporida), a New Microsporidian Parasite of Hylobius Abietis L. (Curculionidae, Coleoptera). The morphology of a microsporidian parasite Nosema hylobii n. sp. is described by light and electron microscopy. The parasite invades the gut epithelial cells of the adult Hylobius abietis. Some data o n the prevalence of infection by the microsporidian N. hylobii in relation to other parasites found in H . abietis are also presented.",Nosema hylobi,round;  long oval,"['round', 'long oval']","{'long oval', 'round'}",
"Nosema Lepocreadii Sp. n., a Parasite of Lepocreadium Manteri (Digenea: Lepocreadiidae) from the Gut of the California Grunion, Leuresthes Tenuis. Nosema lepocreadii sp. n. is described from adult flukes Lepocreadium manteri Olson 1978 from California grunion. The microsporidia are parasitic in cells of the vitelline system. The arrangement of nuclei in diplokarya and the disporoblastic sporogony are characterstic of the genus Nosema Naegeli that have banded cytoplasm and compact nuclei. Chain formation of schizonts or sporonts is common. Spores are 3.5 x 1.5 μm when fresh.",Nosema lepocreadii,elongate; elliptical,"['elongate', 'elliptical']","{'elliptical', 'elongate'}",
"Nosema Parkeri Sp. n., a Microsporidan from the Argasid Tick, Ornithodoros Parkeri Cooley. Nosema parkeri sp. n. is described from nymphs and adults of the argasid tick, Ornithodoros parkeri Cooley, from a laboratory colony. Schizogonic and sporogonic stages are described from various tick tissues. Spores are binucleate, measuring 3.2 (3–4) × 1.9 (1.8–2.5) μm. Transmission is transovarial and transstadial. The parasite does not appear to affect adversely the development or reproduction of the tick. Dermacentor andersoni Stiles was experimentally infected. Attempts to infect Swiss mice by tick feeding or by injection of infected tick suspensions were unsuccessful. The microsporidan differs in structure from Encephalitozoon ixodis Weiser) and Nosema slovaca Weiser & Reháček, the only other microsporidans known from ticks.",Nosema parkeri,pyriform; oval,"['pyriform', 'oval']","{'oval', 'pyriform'}",
"Nosema adaliae sp. nov., a new microsporidian pathogen from the two-spotted lady beetle, Adalia bipunctata L. (Coleoptera: Coccinellidae) and its relationship to microsporidia that infect other coccinellids. Graphical abstract Highlights • This is the first formal description of a microsporidium from Adalia bipunctata. • Diplokaryotic spores (6.10×3.01μm) had isofilar polar filaments with 10–18 coils. • Flight muscles and fat body were the most heavily infected host tissues. • The genome sequence of the microsporidium was 97% similar to Nosema bombi. Abstract The two-spotted lady beetle, Adalia bipunctata L., is a tree-dwelling lady beetle endemic to parts of Europe, Central Asia and North America that is commercially available for aphid control in Europe and North America. Lady beetles host a wide variety of symbionts including parasitoids, viruses, eugregarines, fungi, bacteria, nematodes and microsporidia. Four species of microsporidia have been described from lady beetles, and an undescribed microsporidium was recently isolated from local populations of A. bipunctata in Nova Scotia, Canada. In a previous study, this pathogen prolonged the development of A. bipunctata larvae but had no effect on adult fecundity, longevity or sex ratios. The objective of this study was to formally describe the microsporidium by means of its ultrastructure, tissue pathology and molecular characterization. All stages of the microsporidium were diplokaryotic and developed in direct contact with the host cell cytoplasm. Mature spores measured 4.25±0.09×1.82±0.03μm (SE, n=49, from micrographs) and fresh spores measured 6.10±0.06×3.01±0.05μm (±SE, n=60; range: 5.0–6.9×2.18–3.86μm). The polar filament was isofilar with 10–18 coils that were frequently arranged in a single row. The lamellar polaroplast was not typically visible and spores contained a relatively small posterior vacuole. Both the flight muscles and fat body were heavily infected and a large number of spores were observed within and between the cells of these tissues. The ovaries, developing oocytes, spermatocytes and accessory glands within the testes, midgut epithelium, Malpighian tubules, ileum, colon, and ventral nerve cord were also infected but not as heavily. Connective tissue near the cuticle and surrounding the trachea were lightly infected. The presence of spores in both the alimentary canal and ovaries (particularly within developing oocytes) suggests that the microsporidium can be transmitted per os (horizontally) and transovarially (vertically). Molecular analysis of the genome of the microsporidium described in this study was 97% similar to Nosema bombi and 96% similar to Nosema thomsoni, Nosema vespula and Nosema oulemae. Based on information gained during this study, we propose that the microsporidium in A. bipunctata be given the name Nosema adaliae sp. Nov.",Nosema adaliae,oval,['oval'],{'oval'},
"Nosema chrysorrhoeae n. sp. (Microsporidia), isolated from browntail moth (Euproctis chrysorrhoea L.) (Lepidoptera, Lymantriidae) in Bulgaria: Characterization and phylogenetic relationships. A new microsporidian parasite Nosema chrysorrhoeae n. sp., isolated in Bulgaria from the browntail moth (Euproctis chrysorrhoea L.), is described. Its life cycle includes two sequential developmental cycles that are similar to the general developmental cycles of the Nosema-like microsporidia and are indistinguishable from those of two Nosema spp. from Lymantria dispar. The primary cycle takes place in the midgut tissues and produces binucleate primary spores. The secondary developmental cycle takes place exclusively in the silk glands and produces binucleate environmental spores. N. chrysorrhoeae is specific to the browntail moth. Phylogenetic analysis based on the ssu rRNA gene sequence places N. chrysorrhoeae in the Nosema/Vairimorpha clade, with the microsporidia from lymantriid and hymenopteran hosts. Partial sequences of the lsu rRNA gene and ITS of related species Nosema kovacevici (Purrini K., Weiser J., 1975. Naturliche Feinde des Goldafters, Euproctis chrysorrhoea L., im Gebiet von Kosovo, FSR Jugoslawien. Anzeiger fuer Schadlingskunde, Pflanzen-Umweltschutz, 48, 11-12), Nosema serbica Weiser, 1963 and Nosema sp. from Lymantria monacha was obtained and compared with N. chrysorrhoeae. The molecular data indicate the necessity of future taxonomic reevaluation of the genera Nosema and Vairimorpha.",Nosema chrysorrhoeae,"oval (c1); ellipsoid; 
spindle-shaped (c2)","['oval', 'ellipsoid', 'spindle-shaped']","{'oval', 'spindle-shaped', 'ellipsoid'}",
"Nosema hermanniae n.sp. - a new microsporidian from Hermannia gibba C.L. Koch (Fam. Hermanniidae, Oribatei, Acari) in spruce forest soils",Nosema hermannia,oval,['oval'],{'oval'},
"Nosema maddoxi sp. nov. (Microsporidia, Nosematidae), a Widespread Pathogen of the Green Stink Bug Chinavia hilaris (Say) and the Brown Marmorated Stink Bug Halyomorpha halys (Stål). Abstract We describe a unique microsporidian species that infects the green stink bug, Chinavia hilaris; the brown marmorated stink bug, Halyomorpha halys; the brown stink bug, Euschistus servus; and the dusky stink bug, Euschistus tristigmus. All life stages are unikaryotic, but analysis of the consensus small subunit region of the ribosomal gene places this microsporidium in the genus Nosema, which historically has been characterized by diplokaryotic life stages. It is also characterized by having the reversed arrangement of the ribosomal gene (LSU –ITS‐ SSU) found in species within the “true Nosema” clade. This microsporidium is apparently Holarctic in distribution. It is present in H. halys both where it is native in Asia and where it is invasive in North America, as well as in samples of North American native C. hilaris collected prior to the introduction of H. halys from Asia. Prevalence in H. halys from mid‐Atlantic, North America in 2015–2016 ranged from 0.0% to 28.3%, while prevalence in C. hilaris collected in Illinois in 1970–1972 ranged from 14.3% to 58.8%. Oral infectivity and pathogenicity were confirmed in H. halys and C. hilaris. Morphological, ultrastructural, and ecological features of the microsporidium, together with a molecular phylogeny, establish a new species named Nosema maddoxi sp. Nov.",Nosema maddoxi,oblong,['oblong'],{'oblong'},
"Nosema manierae sp.n., Microsporidie parasite de Chilo zacconius Blezenski 1970 (Lepidoptera: Pyralidae), hôte naturel, et Heliothis armigera (Hübner 1808) (Lepidoptera: Noctuidae), hôte expérimental: Cycle évolutif et ultrastructure. Nosema manierae sp.n. was first isolated from larvae of Chilo zacconius, then easily transmitted to the corn earworm, Heliothis armigera. In the two lepidopterans, the microsporidian causes a general infection and is highly pathogenic. The life cycle includes binucleate and quadrinucleate meronts and sporonts that divide to form binucleate (diplokaryotic) sporoblasts, typical of the genus Nosema. All stages of N. manierae were studied with the electron microscope.",Nosema manierae,ovoid,['ovoid'],{'ovoid'},
"Nosema meligethi I. & R. (Microsporida) in populations of meligethes spp. in Europe. Samples of rape blossom beetles, Meligethes spp., from 12 countries in Eastern and Western Europe were inspected for the occurrence of Nosema meligethi L & R. infection. From most countries about a dozen samples and a few hundred beetles were inspected. A total of 13 910 individual beetles were checked under a compound microscope, and of these, 561 were found to be infected (4.03%). Despite careful examination, infection was not detectable in samples from the UK (1039 beetles inspected), Germany (694), Sweden (489), or Switzerland (280). One infected beetle was found among 444 beetles inspected from Austria, and one from Denmark (1/85). In contrast, the parasite was found rather regularly in samples from Finland and from Eastern European countries. No obvious reason for this pattern of infection is known, but pesticide usage at or close to the sampling sites may play a role, because most samples from which Nosema was detected originated from areas where few pesticides are used. Spore size measurements were made from seven N. meligethi isolates, and they appeared relatively uniform. It appears that artificial spread of the disease might be worthwhile in an effort towards the integrated control of M. aeneus F.",Anncaliia meligethi (= Nosema meligethi) (1),oval,['oval'],{'oval'},
"Nosema neumanni n. sp. (Microsporidia, Nosematidae), a new microsporidian parasite of honeybees, Apis mellifera in Uganda. The microsporidium Nosema neumanni n. sp., a new parasite of the honeybee Apis mellifera is described based on its ultra-structural and molecular characteristics. Structures resembling microsporidian spores were found by microscopic examination of honeybees from Uganda. Molecular confirmation failed when PCR primers specific for Nosema apis and Nosema ceranae were used, but was successful with primers covering the whole family of Nosematidae. We performed transmission electron microscopy and found typical microsporidian spores which were smaller (length: 2.36±0.14μm and width: 1.78±0.06μm; n=6) and had fewer polar filament coils (10–12) when compared to those of known species infecting honeybees. The entire 16S SSU rRNA region was amplified, cloned and sequenced and was found to be unique with the highest resemblance (97% identity) to N. apis. The incidence of N. neumanni n. sp. in Ugandan honeybees was found to be much higher than of the two other Nosema species.",Nosema neumanni,ovocylindrical,['ovocylindrical'],{'ovocylindrical'},
