species,title_abstract,hosts,infection_site,infection_site_corrected,hosts_corrected,species_corrected
Nosema ceranae,"Nosema ceranae n. sp. (Microspora, Nosematidae), morphological and molecular characterization of a microsporidian parasite of the Asian honey bee Apis cerana (Hymenoptera, Apidae). Based on light microscopic and ultrastructural characteristics as well as on the nucleotide sequence of the small subunit ribosomal RNA coding region, the microsporidium Nosema ceranae n. sp., a parasite of the Asian honey bee Apis cerana is described. Merogonial stages and sporonts are diplokaryotic. Merozoites are mostly formed by cytoplasmic fission in quadrinucleate meronts and the number of merogonial cycles may vary. The sporogony is disporoblastic. The living mature spore is ovocylindrical, straight to slightly curved and measures 4.7 x 2.7 11m whereas fixed and stained spores measure 3.6 x 1.7 11m. The polar filament is isofilar with a diameter of 96 -1 02 nm and is arranged in 20-23 coils in the posterior and mid-part of the spore. In the anterior part of the polaroplast there are closely packed approximately 11 nm thick lamellae. The lamellae of the posterior polaroplast are thicker and less regular. In the posterior part of the mature spore a well fixed posterior body interpreted as a posterosome was often observed. Phylogenetic analysis, based on the sequence of the small subunit ribosomal RNA, places Nosema ceranae in the Nosema clade, as defined by Nosema bombycis, the type species of the Nosema genus.",Apis cerana; Apis mellifera; Galleria mellonella,ventriculus epithelium,NA,,
Nosema costelytrae,"Ultrastructure and tissue specificity of Nosema costelytrae and Nosema takapauensis, microsporidian pathogens of grass grubs, Costelytra zealandica, (Coleoptera: Scarabaeidae) in New Zealand. Nosema costelytrae and Nosema takapauensis, microsporidian pathogens of grass grub beetle larvae of the scarabaeid pasture pest species, Costelytra zealandica, are redescribed. N. costelytrae has spherical meronts (6.34 µm) and elongate-ovoid or fusiform sporonts (6.81 × 3.27 µm). Stages have one, two, or four nuclei, usually in diplokaryotic arrangement. Spores are ovoid (4.37 × 2.50 µm, fresh), with a distinct point at one end. Spores develop in the fat body, tracheole cells, nerve ganglia, and muscle. There is no evidence of dimorph-ism when Planotortrix excessana (Lepidoptera) are experimentally infected with N. costelytrae at 15 or 22°C. N. takapauensis has spherical meronts (7.74 µm), with one, two, or four nuclei and spherical sporonts (3.70 µm), with one or two nuclei. Spores are ovoid to cylindrical (6.37 × 2.82 µm, fresh), with some macrospores. Fat body, tracheole cells, and ocnocytes support growth of this parasite. Both species have a fine structure that is usual for Nosema species.",Costelytra zealandica; Planotortrix excessana,fat body; tracheole cells; nerve ganglia; muscles; midgut muscles; hindgut muscls; rectal pouch muscles; muscles beneath cuticle; silk gland (in experimental P. excessana host); Malpighian tubules (in experimental P. excessana host),NA,,
Nosema dikerogammari,"NEW SPECIES OF MICROSPORIDIA FROM AMPHIPODS OF THE DNIEPER BASIN. Three new species of Microsporidia from muscules of Orchestia bottae, Dikerogammarus villosus and Pontogammarus crassus of the Dnieper basin are described. Spores of Glugea orchestiae uninuclear, oval 4.35 (4.0—4.9) X 2.63 (2.3—3.0) mkm, in 4 spored sporophorous vesicles. Spores of Nosema dikerogammari binuclear, marrow-shaped 4.3 (3.7—4.8) X 1.9 (1.7—2.2) mkm. Polaroplast occupies 2/5 of the spore. Spores of N. pontogammari binuclear, oval 2.3 (2.1—2.8) X 1.5 (1.2—1.8) mkm. Polaroplast occupies 1/3 of the spore.",Dikerogammarus villosus; Pontogamtnarus crassus,muscle,NA,,
Nosema furnacalis,"Identification and Isolation of Dimorphic Spores from Nosema furnacalis (Microspora: Nosematidae). Spore morphology of Nosema furnacalis and infectivity for a clone of the Helicoverpa zea cell line were examined by both light and electron microscopy. Dimorphic spores were found in cultured cells infected with N. furnacalis. One type having a few coils of the polar filament (FC spore) germinated spontaneously inside or outside the cell after formation. The other type had many coils of the polar filament (MC spore). The FC spores possessed four coils of the polar filament and MC spores had nine coils on the average. This spore dimorphism was demonstrated to be a characteristic not limited to N. bombycis . With continued passage, the proportion of FC spores in cultured cells sharply increased. Spores isolated after passage 85 to 90 were used to infect cultured cells without prior priming at an alkaline pH. In cultures inoculated at a rate of 10 spores/cell, the prevalence of infected cells was 45% 24 hr postinoculation and 98% by 96 hr postinoculation.",Ostrinia nubilalis; Helicoverpa zea,silk gland (of Ostrinia nubilalis),NA,,
Nosema liturae,"Nosema liturae sp. n., a new species of microsporidia from the cotton leafworm, Spodoptera litura. Nosema liturae sp. n. was isolated from larvae of Spodoptera litura in Guangzhou. It easily transmitted to Heliothis armigera. In the two lepidopterous, the microsporidian caused n general infection and was highly pathogenic. Also, experimental infection was found in eight, addition lepidopterous host; but Bombyx mori, Lymantria dispar, Clostera anachoreta and Plutella maculipennis were refractory to the infection. The fresh spores were typically long ovoid in shape, with a mean size of 4.34±0.27×1.99±0.14μm. The mean polar filament length was 94.2±11.97μm. Ultrastruetural studies showed that the filament was normally arranged in 12—13 coils at an angle of 78—82° to the axie of spores. The species was found to be distinct from all previously described Nosema reported from Lepidoptera",Spodoptera litura; Helicoverpa armigera,general infection,NA,,
Nosema maddoxi,"Nosema maddoxi sp. nov. (Microsporidia, Nosematidae), a Widespread Pathogen of the Green Stink Bug Chinavia hilaris (Say) and the Brown Marmorated Stink Bug Halyomorpha halys (Stål). Abstract We describe a unique microsporidian species that infects the green stink bug, Chinavia hilaris; the brown marmorated stink bug, Halyomorpha halys; the brown stink bug, Euschistus servus; and the dusky stink bug, Euschistus tristigmus. All life stages are unikaryotic, but analysis of the consensus small subunit region of the ribosomal gene places this microsporidium in the genus Nosema, which historically has been characterized by diplokaryotic life stages. It is also characterized by having the reversed arrangement of the ribosomal gene (LSU –ITS‐ SSU) found in species within the “true Nosema” clade. This microsporidium is apparently Holarctic in distribution. It is present in H. halys both where it is native in Asia and where it is invasive in North America, as well as in samples of North American native C. hilaris collected prior to the introduction of H. halys from Asia. Prevalence in H. halys from mid‐Atlantic, North America in 2015–2016 ranged from 0.0% to 28.3%, while prevalence in C. hilaris collected in Illinois in 1970–1972 ranged from 14.3% to 58.8%. Oral infectivity and pathogenicity were confirmed in H. halys and C. hilaris. Morphological, ultrastructural, and ecological features of the microsporidium, together with a molecular phylogeny, establish a new species named Nosema maddoxi sp. Nov.",Chinavia hilaris; Halyomorpha halys; Euschistus servus; Euschistus tristigmus; Euschistus variolarius; Podisus maculiventris; Nezara viridula; Oncopeltus fasciatus,midgut (primary infection site); fat body (primary infection site); egg,NA,,
Nosema manierae,"Nosema manierae sp.n., Microsporidie parasite de Chilo zacconius Blezenski 1970 (Lepidoptera: Pyralidae), hôte naturel, et Heliothis armigera (Hübner 1808) (Lepidoptera: Noctuidae), hôte expérimental: Cycle évolutif et ultrastructure. Nosema manierae sp.n. was first isolated from larvae of Chilo zacconius, then easily transmitted to the corn earworm, Heliothis armigera. In the two lepidopterans, the microsporidian causes a general infection and is highly pathogenic. The life cycle includes binucleate and quadrinucleate meronts and sporonts that divide to form binucleate (diplokaryotic) sporoblasts, typical of the genus Nosema. All stages of N. manierae were studied with the electron microscope.",Chilo zacconius; Heliothis armigera,intestinal epithelium (in Heliothis armigera); adipose tissue (in Helios armigera); systemic infection (in Chilo zacconius); muscles (in Chilo zacconius); hypodermis (in Chilo zacconius); peritracheal cells (in Chilo zacconius); salivary glands (in Chilo zacconius); cerebral ganglia (in Chilo zacconius); gonads (in Chilo zacconius),NA,,
Nosema pilicornis,"A microsporidium, Nosema pilicornis sp. n., of the purslane sawfly, Schizocerella pilicornis. A new microsporidian species, Nosema pilicornis, which infects the purslane sawfly, Schizocerella pilicornis, is described. This microsporidium infects most body tissues of the host. N. pilicornis was compared to other microsporidian species infecting Hymenoptera and to a group of similar microsporidia infecting Lepidoptera. N. pilicornis could be distinguished from all other microsporidian species on the basis of host range and ultrastructural characteristics of the spore. Spores were oval, containing 11 to 12 polar filament coils, and the polar filament had an angle of tilt of about 80°. N. pilicornis infected lepidopteran larvae, but only when heavy spore dosages were fed to early larval instars. S. pilicornis is a good but sporadic biological control agent of common purslane, Portulaca oleracea, a pernicious weed of vegetable, ornamental, and orchard crops. N. pilicornis, which is transovarially transmitted and causes high mortality in infected larvae, affects the performance of S. pilicornis as a biological control agent.",Schizocerella pilicornis; Heliothis zea; Spodoptera frugiperda; Diacrisia virginica; Autographa precationis,systemic infection; midgut epithelium; Malpighian tubules; fat body (in Schizocerella pilicornis); salivary glands (in Schizocerella pilicornis); muscles (in Schizocerella pilicornis); gonads (in Schizocerella pilicornis); egg,NA,,
Nosema scripta,"Nosema scripta N. Sp. (Microsporida: Nosematidae), A Microsporidian Parasite of the Cottonwood Leaf Beetle, Chrysomela scripta (Coleoptera: Chrysomelidae). Nosema scripta (Microsporida: Nosematidae), a new species of microsporidian parasite, is described from the cottonwood leaf beetle, Chrysomela scripta F. (Coleoptera: Chrysomelidae), in North America. Studies using light and electron microscopy reveal that this species completes its life cycle in direct contact with the cytoplasm of cells within the fat body, midgut, hindgut, muscles, central nerve cord, Malpighian tubules, tracheal end cells, and ovaries. the microsporidium is monomorphic, all life stages are diplokaryotic, and spores develop from disporous sporonts. The mature spores are broadly oval and measure 4.2 ± 0.10 times 3.4 ± 0.04 μm. Spores contain a tubular polar filament that is arranged peripherally in a single layer of 13-15 coils. Both horizontal transmission and vertical transmission have been demonstrated for this microsporidium in C. scripta in the laboratory. The Colorado potato beetle, Leptinotarsa decemlineata (Say), was susceptible to infection with this pathogen in cross-infectivity studies.",Chrysomela scripta; Leptinotarsa decemlineata,fat body; midgut; hindgut; muscles; central nerve cord; Malpighian tubules; tracheal end cells; ovary,NA,,
Nosema sp. HR,"Morphological and phylogenetic analysis of Nosema sp. HR (Microsporidia, Nosematidae): a new microsporidian pathogen of Histia rhodope Cramer (Lepidoptera, Zygaenidae). A new microsporidium was isolated from Histia rhodope Cramer (Lepidoptera, Zygaenidae), a pest of Bischofia javanica BL. in China. The morphology and molecular systematic of this novel microsporidian isolate had been described in this study. The spores were long oval and measured 3.1 × 1.9 μm on fresh smears. Ultrastructure of the spores was characteristic for the genus Nosema: 14–15 polar filament coils, posterior vacuole, and a diplokaryon. The sequenced rRNA gene of this isolate is 4309 bp long. The organization of the rRNA gene is 5′-LSU rRNA-ITS-SSU rRNA-IGS-5S-3′, which is similar to that of other Nosema species (such as Nosema bombycis). Phylogenetic analysis based on LSU rRNA gene and SSU rRNA gene both revealed that this novel micorsporidian which isolated from H. rhodope had close relationship to the genus Nosema. Additionally, this isolate can also cause systemic infection of Bombyx mori. So, we should pay attention not only to N. bombycis, but also to other microsporidian (such as Nosema sp. HR) in sericulture in the future.",Histia rhodope; Bombyx mori,alimentary canal; silk glands; fat bodies; malpighian tubules; muscle; gonad,NA,,
Nosema trilophidiae,"NOTE ON NOSEMA TRILOPHIDIAE SP.NOV.,A PARASITE OF TRILOPHIDIA ANNULATA THUNBERG AND OEDALEUS DECORUS(GERM.) (MICROSPORA:NOSEMATIDAE)--《Acta Zootaxonomica Sinica》1993年04期. This paper reports a new species of microsporidia collected from Beijing and Wulumuqi,China. Nosema trilophidiae sp. nov. (pl. I,figs. 1--13) Host and Site (Natural) Trilophidia annulata Thunberg (Type host) and Oedaleusdecorus(Germ.),infection in midgut, gastric caeca, salivary glands, gonods, hemolymph, fatbody, nervous tissue, tracheae and Malpighian tubules. The infected salivary glands appearhypertrophid and milky; (Experimental) Locusta migratoria manilensis (Meyen). Life cycle Meronts typically with 1--8 nuclei (in diplokaryon), sporont with twodiplokarya divided into two sporoblasts which directly transform into spores. (figs. 1--9, 11) Spore Fresh spores elongate, 3. 66±0. 34×1. 62±0. 07μm (n=50),length/breadth ra-tio 2. 44±0. 08(fig. 10). Polar filament usually 8 coils arranged in two layers in the posteriorhalf of the spore. The angle of tilt of the anterior filamentod coil 30° to the long axis of spore(figs. 12--13) Discussion The new species with diplokaryotic development stages and disporoblasticsporogony is characteristic for the genus Nosema. Hitherto only three Nosema species havebeen described from Acrididae: Nosema locustae described by E. U. Canning (1953), N.acridophagus and N. cuneatum both described by J. E. Herry (1967,1971), N. trilophidiae differs from them by having distinctly smaller size and elongate shape of spores. The ultrastructural characters also indicate that the species is new to science. Type locality Malianwa (40. 0°N,116. 2°E),Beijing. Sept.,1988 Deposition of type Slides with type specimens are deposited in the Institute of PlantProtection,",Trilophidia annulata; Oedaleusdecorus,midgut; gastric caeca; salivary glands; gonods; hemolymph; fatbody; nervous tissue; tracheae and Malpighian tubules,NA,,
Nosema yponomeutae,"Über eine neue Mikrosporidien-Krankheit, Nosema yponomeutae n. sp. (Microsporidia, Nosematidae) der Gespinstmotten Yponomeuta padella L und Y. evonymella L. (Lep., Yponomeutidae). Nosema yponomeutae n. sp. (Protozoa, Microsprodia, Nosematidae), a new pathogen of the web moths Yponomeuta padella L. and Y. evonymella L. (Lep., Yponomeutidae) A new species of Nosematidae, Nosema yponomeutae n. sp. is described. This pathogen is parasiting particularly the adipose tissue and the intestines of the larvae of Yponomeuta padella L. and Y. evonymella L. It is also located in oenocytes, lymphocytes, muscules and in the tracheal matrix. This paper only includes one type of schizogonie and the whole sporogonie. A complete description of the life cycle will be given in another paper. The length of the spores was 4.2-4.8 μm, the width was 1.6-2.1 μm. Up to 5.1% of the larvae and 30% of the pupae of Y. padella and up to 6.2% of the larvae and 33% of the pupae of Y. evonymella were parasitized. This is the first Protozoan pathogen found at genus Yponomeuta.",Yponomeuta padella; Yponomeuta evonymella,adipose tissue; intestines (lumen and epithelium); oenocytes; lymphocytes; muscles; tracheal matrix,NA,,
Oogranate pervascens,"A New Genus Of Microsporidian Parasite (Hepatosporidae; Micro-Sporidia) Found In The Oocytes Of Ribbon Worms From The North Pacific Genus Maculaura (Heteronemertea; Nemertea). An intracellular microsporidian parasite was first observed within oocytes of Maculaura alaskensis, a small pilidiophoran nemertean, commonly found on sandflats along the Pacific coast of North America. Infected oocytes have large vesicles containing dozens to hundreds of diplokaryotic, ellipsoid spores measuring 1.3 by 2.3 µm. A partial small subunit nuclear ribosomal 18S gene sequence isolated from the microsporidian does not match any known microsporidian sequences in the public databases. Phylogenetic analysis groups it with Hepatospora eriocheir in a sister clade to the Enterocytozoonidae. All the known life stages of this parasite are contained within a membranous envelope. This microsporidian was identified in M. alaskensis, Maculaura aquilonia, Maculaura oregonensis, and Maculaura cerebrosa in Coos Bay, Oregon, in M. alaskensis from Newport, Oregon, and in M. aquilonia collected in Juneau, Alaska. This is, to our knowledge, the first species of microsporidia found to directly infect nemertean host cells.",Maculaura alaskensis; Maculaura aquilonia; Maculaura oregonensis; Maculaura cerebrosa,"oocytes (M. alaskensis, M. aquilonia); mesenchyme cells (M. alaskensis)",NA,,
Ovipleistophora diplostomuri,"Phylogeny and morphology of Ovipleistophora diplostomuri n. sp. (Microsporidia) with a unique dual-host tropism for bluegill sunfish and the digenean parasite Posthodiplostomum minimum (Strigeatida). SUMMARY Microsporidia are diverse opportunistic parasites abundant in aquatic organisms with some species hyperparasitic in digenean parasites. In the current study, we describe a unique microsporidian parasite, Ovipleistophora diplostomuri n. sp. that has a tropism for both the bluegill sunfish Lepomis macrochirus, and its digenean parasite Posthodiplostomum minimum. Though the microsporidium first infects a fish, the subsequent infection causes hypertrophy of the metacercarial wall and degeneration of the P. minimum metacercariae within the fish tissue. Genetic analysis placed this species within Ovipleistophora and ultrastructural characteristics were consistent with the genus, including the presence of dimorphic spores within sporophorous vesicles. Meronts did not have a surface coat of dense material, which has been previously reported for the genus. This is the first Ovipleistophora species described that does not have a tropism for ovary. Genetics demonstrated that O. diplostomuri n. sp. groups closely within fish microsporidia and not other species known to be hyperparasitic in digeneans, suggesting that it evolved from fish-infecting microsporidians and developed a secondary tropism for a common and widespread digenean parasite. The high genetic identity to Ovipleistophora species demonstrates the close relationship of this unique microsporidian with other microsporidia that infect ovary.",Lepomis macrochirus; infected with Posthodiplostomum minimum; Procambarus bivittatus,Internal organs; most commonly in liver; but also in spleen; kidney; epicardium,NA,,
Paranucleospora theridion,"Paranucleospora theridion n. gen., n. sp. (Microsporidia, Enterocytozoonidae) with a Life Cycle in the Salmon Louse (Lepeophtheirus salmonis, Copepoda) and Atlantic Salmon (Salmo salar). ABSTRACT . Paranucleospora theridion n. gen, n. sp., infecting both Atlantic salmon (Salmo salar) and its copepod parasite Lepeophtheirus salmonis is described. The microsporidian exhibits nuclei in diplokaryotic arrangement during all known life-cycle stages in salmon, but only in the merogonal stages and early sporogonal stage in salmon lice. All developmental stages of P. theridion are in direct contact with the host cell cytoplasm or nucleoplasm. In salmon, two developmental cycles were observed, producing spores in the cytoplasm of phagocytes or epidermal cells (Cycle-I) and in the nuclei of epidermal cells (Cycle-II), respectively. Cycle-I spores are small and thin walled with a short polar tube, and are believed to be autoinfective. The larger oval intranuclear Cycle-II spores have a thick endospore and a longer polar tube, and are probably responsible for transmission from salmon to L. salmonis. Parasite development in the salmon louse occurs in several different cell types that may be extremely hypertrophied due to P. theridion proliferation. Diplokaryotic merogony precedes monokaryotic sporogony. The rounded spores produced are comparable to the intranuclear spores in the salmon in most aspects, and likely transmit the infection to salmon. Phylogenetic analysis of P. theridion partial rDNA sequences place the parasite in a position between Nucleospora salmonis and Enterocytozoon bieneusi. Based on characteristics of the morphology, unique development involving a vertebrate fish as well as a crustacean ectoparasite host, and the results of the phylogenetic analyses it is suggested that P. theridion should be given status as a new species in a new genus.",Salmo salar; Lepeophtheirus salmonis,epithelial cells; leukocytes (in Salmo salar); endothelial cells (in Salmo salar); connective (in Lepeophtheirus salmonis); haemocytes (in Lepeophtheirus salmonis),NA,,
Parathelohania costatus,Experimental study of the transmission of microsporidians in bloodsucking mosquitoes from the southern part of West Siberia,Aedes punctor; Aedes diantaeus; Aedes excrucians,fat body,NA,,
Pleistophora oncoperae,"Pleistophora oncoperae sp.n. (Protozoa: Microsporida) from Oncopera alboguttata (Lepidoptera: Hepialidae) in Australia. Pleistophora oncoperae sp.n. is described from adults and larvae of Oncopera alboguttata and O. rufobrunnea. The main site of infection was muscle, though fat body and connective tissue were also infected. Fresh pansporoblasts measured about 25 μm in diameter and contained 16 to 32 or more spores with a mean size of 5.9 × 3.1 μm. Macrospores measuring 7.7 × 4.4 μm were also seen. The mean polar filament length was 158 μm; ultrastructural studies showed that the filament is normally arranged in 14 coils (range, 13 to 20) at an angle of 53.5° to the axis of the spore. The species was found to be distinct from all previously described Pleistophora reported from Lepidoptera.",Oncopera alboguttata; Oncopera rufobrunnea,muscles (primary infection site); fat body; connective tissues,NA,,
Pleistophora oribatei,"Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils. Four new species of the genus Pleistophora (P. oribatei, P. cephei, P. platynothri, and P. dindali), one of Thelohania (Th. microtritiae), and three of Nosema (N. steganacari, N. acari, and N. führeri) are discovered and described from mossmites (Oribatei, Acarina) in forest soil samples from Lower Saxony and Hessen (Federal Republic of Germany). Acht neue Mikrosporidien‐Arten aus Hornmilben (Oribatei, Acarina) aus Waldböden Im Rahmen einer vergleichenden Bodentieruntersuchung wurden in verschiedenen Waldstandorten Niedersachsens und Hessens 62 Hornmilbenarten festgestellt, von denen 12 Arten mit Mikrosporidien infiziert waren. Diese gehören acht verschiedenen Species an, die hier als neue Arten beschrieben werden: Pleistophora oribatei n. sp. in verschiedenen Hornmilbenarten; P. cephei n. sp. in Cepheus dentatus Michael (Cepheidae); P. platynothri n. sp. in Platynothrus peltifer C. L. Koch (Camisiidae); P. dindali n. sp. in Carabodes coriaceus C. L. Koch (Carabodidae); Thelohania microtritiae n. sp. in Microtritia minima Berlese (Euphtiracaridae); Nosema steganacari n. sp. in Steganacarus striculus C. L. Koch (Phtiracaridae); N. acari n. sp. in Damaeus onustus C. L. Koch and D. clavipes Hermann (Damaeidae), und N. führeri n. sp. in Phtiracarus globosus C. L. Koch (Phtiracaridae). Der nachgewiesene Mikrosporidienbefall betrug bei den meisten Wirtsarten 2–5%, nur bei Rhysotritia duplicata Grandjean (Euphtiracaridae) lag er bei 15% und M. minima 10%.",Phtiracarus piger; Rhysotritia duplicata; Microtritia minima; Damaeus clavipes; Carabodes fernoralis; Phtiracarus sp.,"lymphocytes (in Rhysotritia duplicata, Microtritia minima); oenocytes (in Rhysotritia duplicata, Microtritia minima); gonads (in Phtiracarus piger, Phtiracarus sp.); gut-wall (in Carabodes fernoralis, Damaeus clavipes)",NA,,
Pulicispora xenopsyllae,"The microsporidium Pulicispora xenopsyllae gen. n., sp. n. trom fleas of the genus Xenopsylla. P. 13-19.. The ultrastructure of the polysporous microsporidium Pulicispora xenopsyllae gen. п., sp. n. from Xenopsylla fleas is studied. Stages of late rnerogony and sporogony are limited by the amorphous, then double—layered coat of sporoforous vesicle. There is one type of sporogony. In the beginning of sporogony there is diplocarya. Sporophorous vesicles contain 8 to 32 spores. Oval-cylindrical spores have one horseshoe-shaped nucleus, large lamellar polaroplast and anisofilar polar tube. The number of thick and thin coiles of the tube is different: 5+3.5 , 6+3.5 , 7+3 . Sizes of spores are 5.7X2.8 mkm (from X. skrjabini) and 4.6X3.0 mkm (from X. Hirtipes).",Xenopsylla skrjabini; Xenopsylla hirtipes,fatty body; muscles; hypodermis; then other organs,NA,,
Takaokaspora nipponicus,"Morphological and molecular characterization of a microsporidian parasite, Takaokaspora nipponicus n. gen., n. sp. from the invasive rock pool mosquito, Ochlerotatus japonicus japonicus. Graphical abstract Highlights • A new genus and species of Microsporidia is described from mosquitoes. • The microsporidium is vertically and horizontally transmitted and exhibits dimorphic development. • Development in vertically-infected larvae is fatal and results in the formation of uninucleate conical spores. • Horizontal transmission occurs via oral ingestion of spores produced in vertically-infected larvae. • The SSU rDNA sequence of the microsporidium is unique from all other mosquito-parasitic species. Abstract A new genus and species of Microsporidia, Takaokaspora nipponicus n. gen., n. sp. is described from Ochlerotatus japonicus japonicus (Theobald) and Ochlerotatus hatorii (Yamada) based on light microscope and ultrastructural morphology, developmental features, transmission cycles and comparative sequence analyses of the small subunit ribosomal DNA (SSU rDNA). The microsporidium is both vertically and horizontally transmitted, exhibits dimorphic development alternating between diplokaryotic and monokaryotic stages and produces two morphologically distinct spores, one in larvae and another in adult females. Horizontal transmission of infection to larval mosquitoes occurs via direct oral ingestion of uninucleate spores that are produced in vertically-infected larval hosts. Development in horizontally-infected hosts is diplokaryotic following karyokinesis of uninucleate schizonts and binary fission to produce small (4.3μm×2.0μm) membrane free, ovoid, binucleate spores that are confined to adult female reproductive tissues (ovariole sheath and oviducts). Vertical transmission of the microsporidium from adult females to larval progeny takes place via surface contamination of the egg (transovum). Microsporidian development in vertically-infected larvae is haplophasic with unpaired nuclei throughout, producing rosette-shaped sporogonial plasmodia contained within a thin non-persistent sporophorous vesicle and culminating in the formation of membrane free, uninucleate, conical spores (7.0μm×2.8μm). Development is confined to host fat body tissue which appears as swollen white masses in the thorax and selected segments of the abdomen causing larvae to appear abnormally distorted and results in death during the third and fourth instar stages. The SSU rDNA sequences obtained from the two morphologically identical microsporidia isolated from Oc. j. japonicus and Oc. hatorii were nearly identical and unique when compared with GenBank entries of all other mosquito-parasitic species. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and bootstrap analyses using the Neighbor Joining search parameter yielded similar typologies. In each case, the novel microsporidium was the sister group to the clade containing Parathelohania species from Anopheles mosquitoes and the monotypic Novothelohania ovalae from Ochlerotatus caspius showing approximately 10–13% sequence divergence to those two genera providing strong support for establishment as a separate genus.",Ochlerotatus japonicus japonicus; Ochlerotatus hatorii,adipose of larvae (vertical trans.); gonads (of horizontally-infected adult female hosts),NA,,
Tetramicra brevifilum,"Tetramicra brevifilum (Matthews & Matthews, 1980) (Microsporida: Tetramicriidae) in a new fish host, Lophius budegassa (Spinola, 1807) in Spain. Tetramicra brevifilum, a microsporidian parasite of Scophthalmus maximus, was found in Lophius budegassa for the first time. This parasite was detected in 5 of 199 hosts captured in the coastal waters of Barcelona (Northwest Mediterranean), which enlarges the geographic distribution of this microsporidian. Affected fish did not show any external sign of disease, and cysts of T. brevifilum were found associated with the body musculature but were easily differentiated from those of Spraguea lophii, another microsporidian present in this host. A case of simultaneous infection by both T. brevifilum and S. lophii was found.",Lophius budegassa; Scophthalmus maximus; Scophthalmidae; Salmo salar,muscles (perimysium between red and white skeletal muscle); brain; internal organs,NA,,
Trachipleistophora extenrec,"Trachipleistophora extenrec n. sp. a New Microsporidian (Fungi: Microsporidia) Infecting Mammals. ABSTRACT. A new microsporidian Trachipleistophora extenrec n. sp. was isolated from a muscle lesion of the streaked tenrec Hemicentetes semispinosus Cuvier, 1798 (Mammalia, Tenrecidae), an insectivore endemic to Madagascar. The spores isolated from the tenrec were infectious to severe combined immunodeficient (SCID) mice by intramuscular injection. Material obtained from muscular lesions in mice was used for the parasite description. All developmental stages of the microsporidian were covered by a dense coat, which during sporogony changed into the sporophorous vesicle wall. Eight, 16, 32, or more spores were formed inside the sporophorous vesicle as the result of the division by plasmotomy and sequential fission of a multinucleate sporogonial plasmodium. Spores were ovoid, 4.7 × 2.8 μm in size, had a large posterior vacuole, and had an isofilar polar tube with 15–16 coils. Although the fine structure and the developmental pattern of the organism were in some respects similar to the genus Vavraia, molecular phylogeny based on the gene sequences of the small subunit rRNA and RNA polymerase subunit II indicated that the organism belongs to the genus Trachipleistophora. The diagnostic characters of the genera Trachipleistophora and Vavraia are discussed as well as the discrepancies between the phylogenies of these two microsporidian genera based on morphology and molecules.",Hemicentetes semispinosus; Mus musculus,muscle (1;2),NA,,
Tuzetia weidneri,"Ultrastructure of Tuzetia weidneri sp. n. (Microsporidia: Tuzetiidae) in skeletal muscle of Litopenaeus setiferus and Farfantepenaeus aztecus (Crustacea: Decapoda) and new data on Perezia nelsoni (Microsporidia: Pereziidae) in L. Setiferus. A new microsporidian species, Tuzetia weidneri sp. n., is described from the skeletal muscle of the decapod crustaceans Litopenaeus setiferus and Farfantepenaeus aztecus. Fresh spores are pyriform, measuring 3.1 × 2.3 μm. All stages have unpaired nuclei. Meronts lie in direct contact with degenerate host cell cytoplasm but produce numerous small blisters at the surface. Multinucleate meronts divide by constriction into groups or chains of uninucleate products. Sporogony is initiated by deposition of a dense surface coat on the plasma membrane of uninucleate or multinucleate stages and fusion of blisters to enclose the sporont in a sporophorous vesicle (SV). Episporontal secretions in the SV are involved in the division of the sporont. During sporogonic division into chains of sporoblasts, the SV divides together with the body of the sporont, so that each sporoblast is enclosed in its own SV. Spores have a flattened anchoring disc that lies in the polar sac, membranous and spongiform regions of the polaroplast and 9-10.5 coils of the isofilar polar tube, around a posterior vacuole. The endospore layer of the spore wall is not thinned over the anchoring disc. The spore wall is adorned with a complex series of ridges. New data are presented on the spores of Perezia nelsoni (Sprague 1950) in L. setiferus. Of special interest is the polaroplast which is composed of an outer region of tightly-packed membranes in the form of a globule, which almost invariably completely encloses an inner region of loosely packed membranes. The isofilar polar tube, arranged in 8-10 coils angled around the large nucleus in the posterior half of the spore, passes through the membranes of the globular polaroplast near the periphery of the spore, then runs a curved course through the inner polaroplast and passes again through the globular polaroplast to join the anchoring disc. A polaroplast with one region completely enclosed by another has not been described previously.",Litopenaeus setiferus; Farfantepenaeus azectus,muscle (1;2),NA,,
Unnamed Microsporidia sp. 3,"Microsporidians in penaeid shrimp along the west coast of Madagascar. Three species of penaeid shrimp, Fenneropenaeus indicus, Penaeus monodon and P. sernisulcatus, found in trawler catches off the west coast of Madagascar were infected with microsporidian parasites. The infections were evident as muscular lesions with a cottony appearance when abundant. Spore size (2.6 x 1.6 mum) and morphology (ovoid) for the parasites infecting both F indicus and P. sernisulcatus were not significantly different, suggesting that they might be the same microsporidian species. Spore size (1.4 x 1.1 mum) and morphology (sub-globose to ovoid) in P. monodon infections were significantly different from those in the other 2 shrimp species, suggesting that it was a different parasite. The presence of microsporidians in this biogeographical zone means that there is a potential risk of infections of cultured shrimp in farms situated in the vicinity. This must be assessed by increasing current knowledge of the parasites.",Fenneropenaeus indicus; Penaeus semisulcatus,muscle (1;2),NA,,
