species,title_abstract,species_corrected,hosts_corrected,infection_site,infection_site_parenthesized,infection_site_not_in_text,parenthesized_not_in_text,infection_site_corrected,parenthesized_corrected
Pulicispora xenopsyllae,"The microsporidium Pulicispora xenopsyllae gen. n., sp. n. trom fleas of the genus Xenopsylla. P. 13-19.. The ultrastructure of the polysporous microsporidium Pulicispora xenopsyllae gen. п., sp. n. from Xenopsylla fleas is studied. Stages of late rnerogony and sporogony are limited by the amorphous, then double—layered coat of sporoforous vesicle. There is one type of sporogony. In the beginning of sporogony there is diplocarya. Sporophorous vesicles contain 8 to 32 spores. Oval-cylindrical spores have one horseshoe-shaped nucleus, large lamellar polaroplast and anisofilar polar tube. The number of thick and thin coiles of the tube is different: 5+3.5 , 6+3.5 , 7+3 . Sizes of spores are 5.7X2.8 mkm (from X. skrjabini) and 4.6X3.0 mkm (from X. Hirtipes).",Pulicispora xenopsyllae,Xenopsylla skrjabini; Xenopsylla hirtipes,fatty body; muscles; hypodermis; then other organs,NA,fatty body; muscles; hypodermis; then other organs,NA,NA,NA
Rugispora istanbulensis,"Description and phylogeny of a new microsporidium from the elm leaf beetle, Xanthogaleruca luteola Muller, 1766 (Coleoptera: Chrysomelidae). This study describes a new genus and species of microsporidia which is a pathogen of the elm leaf beetle, Xanthogaleruca luteola Muller, 1776 (Coleoptera: Chrysomelidae). The beetles were collected from Istanbul in Turkey. All developmental stages are uninucleate and in direct contact with the host cell cytoplasm. Giemsa-stained mature spores are oval in shape and measured 3.40 ± 0.37 μm in length and 1.63 ± 0.20 μm in width. These uninucleate spores have an isofilar polar filament with 11 turns. The spore wall was trilaminar (75 to 115 nm) with a rugose, electron-dense exospore (34 to 45 nm) and a thickened, electron-lucent endospore (65 to 80 nm) overlaying the plasmalemma. Morphological, ultrastructural, and molecular features indicate that the described microsporidium is dissimilar to all known microsporidian taxa and confirm that it has different taxonomic characters than other microsporidia infecting X. luteola and is named here as Rugispora istanbulensis n. gen., n. sp.",Rugispora istanbulensis,Xanthogaleruca luteola,Midgut epithelium,NA,Midgut epithelium,NA,NA,NA
Schroedera airthreyi,"Development and Molecular Characterisation of the Microsporidian Schroedera airthreyi n. sp. in a Freshwater Bryozoan Plumatella sp. (Bryozoa: Phylactolaemata). Abstract. The development of a new species of microsporidian, infecting a freshwater Plumatellid bryozoan, is described. The small-subunit rDNA, internal transcribed spacer region (ITS), and partial large-subunit rDNA genes were sequenced. Phylogenetic analysis demonstrated that the parasite clustered with Schroedera plumatellae. However, while there were morphological affinities with this species, significant differences were also observed. The infection initially appeared as a roughening of the peritoneum lining the metacoelom of the bryozoan. This roughening resolved into meront-infected syncytia, composed of interconnected cells of the body wall that detached to float in the coleomic cavity. Spores were observed to develop within these syncytia. All stages of development were diplokaryotic in contrast to S. plumatellae, which has a distinct monokaryotic merogony preceding sporogony. The infection was pathogenic to the host. Direct bryozoan–bryozoan transmission was not observed. We propose to name the microsporidian Schroedera aithreyi n. sp.",Schroedera airthreyi,Plumatella sp.,muscle,NA,muscle,NA,peritoneum,NA
Schroedera plumatellae,"Development of Schroedera plumatellae gen. n., sp. n. (Microsporidia) in Plumatella fungosa (Bryozoa: Phylactolaemata). A new microsporidian, Schroedera plumatellae, is described infecting a freshwater bryozoan. The development of the infection is described both at the light and ultrastructural level. The infection induces the formation of hyperplastic testes within the bryozoan host from which cord-like xenomas form. Development of diplokaryotic sporonts is preceded by haplophasic schizogony. Sporogony forms diplokaryotic spores. The spores formed within the xenomas are oval, tapering to one end and were 7.2 ± 0.3 μm by 5.0 ± 0.3 μm with 22-23 turns of the polar filament. Sporogony occurred within the hyaloplasm with the exospore developing into two distinct layers. Phylogenetic analysis showed that the parasite was most closely related to a Bacillidium sp. and Janacekia debaisieuxi.",Schroedera plumatellae,Plumatella fungosa,spermatogonia,NA,spermatogonia,NA,testes,NA
Sporanauta perivermis,"Microsporidian Infection in a Free-Living Marine Nematode. Microsporidia are unicellular fungi that are obligate endoparasites. Although nematodes are one of the most abundant and diverse animal groups, the only confirmed report of microsporidian infection was that of the “nematode killer” (Nematocida parisii). N. parisii was isolated from a wild Caenorhabditis sp. and causes an acute and lethal intestinal infection in a lab strain of Caenorhabditis elegans. We set out to characterize a microsporidian infection in a wild nematode to determine whether the infection pattern of N. parisii in the lab is typical of microsporidian infections in nematodes. We describe a novel microsporidian species named Sporanauta perivermis (marine spore of roundworms) and characterize its infection in its natural host, the free-living marine nematode Odontophora rectangula. S. perivermis is not closely related to N. parisii and differs strikingly in all aspects of infection. Examination by transmission electron microscopy (TEM) revealed that the infection was localized in the hypodermal and muscle tissues only and did not involve the intestines. Fluorescent in situ hybridization (FISH) confirmed infection in the muscle and hypodermis, and surprisingly, it also revealed that the parasite infects O. rectangula eggs, suggesting a vertical mode of transmission. Our observations highlight the importance of studying parasites in their natural hosts and indicate that not all nematode-infecting microsporidia are “nematode killers”; instead, microsporidiosis can be more versatile and chronic in the wild.",Sporanauta perivermis,Odontophora rectangula,Hypoderm; muscles; egg; and the reproductive tissues of juveniles,NA,muscles; and the reproductive tissues of juveniles,NA,muscle,NA
Takaokaspora nipponicus,"Morphological and molecular characterization of a microsporidian parasite, Takaokaspora nipponicus n. gen., n. sp. from the invasive rock pool mosquito, Ochlerotatus japonicus japonicus. Graphical abstract Highlights • A new genus and species of Microsporidia is described from mosquitoes. • The microsporidium is vertically and horizontally transmitted and exhibits dimorphic development. • Development in vertically-infected larvae is fatal and results in the formation of uninucleate conical spores. • Horizontal transmission occurs via oral ingestion of spores produced in vertically-infected larvae. • The SSU rDNA sequence of the microsporidium is unique from all other mosquito-parasitic species. Abstract A new genus and species of Microsporidia, Takaokaspora nipponicus n. gen., n. sp. is described from Ochlerotatus japonicus japonicus (Theobald) and Ochlerotatus hatorii (Yamada) based on light microscope and ultrastructural morphology, developmental features, transmission cycles and comparative sequence analyses of the small subunit ribosomal DNA (SSU rDNA). The microsporidium is both vertically and horizontally transmitted, exhibits dimorphic development alternating between diplokaryotic and monokaryotic stages and produces two morphologically distinct spores, one in larvae and another in adult females. Horizontal transmission of infection to larval mosquitoes occurs via direct oral ingestion of uninucleate spores that are produced in vertically-infected larval hosts. Development in horizontally-infected hosts is diplokaryotic following karyokinesis of uninucleate schizonts and binary fission to produce small (4.3μm×2.0μm) membrane free, ovoid, binucleate spores that are confined to adult female reproductive tissues (ovariole sheath and oviducts). Vertical transmission of the microsporidium from adult females to larval progeny takes place via surface contamination of the egg (transovum). Microsporidian development in vertically-infected larvae is haplophasic with unpaired nuclei throughout, producing rosette-shaped sporogonial plasmodia contained within a thin non-persistent sporophorous vesicle and culminating in the formation of membrane free, uninucleate, conical spores (7.0μm×2.8μm). Development is confined to host fat body tissue which appears as swollen white masses in the thorax and selected segments of the abdomen causing larvae to appear abnormally distorted and results in death during the third and fourth instar stages. The SSU rDNA sequences obtained from the two morphologically identical microsporidia isolated from Oc. j. japonicus and Oc. hatorii were nearly identical and unique when compared with GenBank entries of all other mosquito-parasitic species. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and bootstrap analyses using the Neighbor Joining search parameter yielded similar typologies. In each case, the novel microsporidium was the sister group to the clade containing Parathelohania species from Anopheles mosquitoes and the monotypic Novothelohania ovalae from Ochlerotatus caspius showing approximately 10–13% sequence divergence to those two genera providing strong support for establishment as a separate genus.",Takaokaspora nipponicus,Ochlerotatus japonicus japonicus; Ochlerotatus hatorii,adipose of larvae; gonads,vertical trans.,adipose of larvae; gonads,NA,"Ovariole sheath (Ochlerotatus japonicus japonicus, Ochlerotatus hatorii); oviducts (Ochlerotatus japonicus japonicus, Ochlerotatus hatorii); fat body (Ochlerotatus japonicus japonicus, Ochlerotatus hatorii)",NA
Tetramicra brevifilum (1),"Tetramicra brevifilum (Matthews & Matthews, 1980) (Microsporida: Tetramicriidae) in a new fish host, Lophius budegassa (Spinola, 1807) in Spain. Tetramicra brevifilum, a microsporidian parasite of Scophthalmus maximus, was found in Lophius budegassa for the first time. This parasite was detected in 5 of 199 hosts captured in the coastal waters of Barcelona (Northwest Mediterranean), which enlarges the geographic distribution of this microsporidian. Affected fish did not show any external sign of disease, and cysts of T. brevifilum were found associated with the body musculature but were easily differentiated from those of Spraguea lophii, another microsporidian present in this host. A case of simultaneous infection by both T. brevifilum and S. lophii was found.",Tetramicra brevifilum,Lophius budegassa; Scophthalmus maximus,muscles; brain; internal organs,perimysium between red and white skeletal muscle,muscles; brain; internal organs,perimysium between red and white skeletal muscle,"musculature (Lophius budegassa, Scophthalmus maximus)",NA
Thelohania assovi,"A NEW SPECIES OF MICROSPORIDIANS, THELOHANIA ASSOVI SP. N. (MICROSPORIDIA, NOSEMATIDAE), FROM LARVAE OF BLACK FLIES",Thelohania assovi,NA,fat body,NA,fat body,NA,NA,NA
Thelohania microtritiae,"Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils. Four new species of the genus Pleistophora (P. oribatei, P. cephei, P. platynothri, and P. dindali), one of Thelohania (Th. microtritiae), and three of Nosema (N. steganacari, N. acari, and N. führeri) are discovered and described from mossmites (Oribatei, Acarina) in forest soil samples from Lower Saxony and Hessen (Federal Republic of Germany). Acht neue Mikrosporidien‐Arten aus Hornmilben (Oribatei, Acarina) aus Waldböden Im Rahmen einer vergleichenden Bodentieruntersuchung wurden in verschiedenen Waldstandorten Niedersachsens und Hessens 62 Hornmilbenarten festgestellt, von denen 12 Arten mit Mikrosporidien infiziert waren. Diese gehören acht verschiedenen Species an, die hier als neue Arten beschrieben werden: Pleistophora oribatei n. sp. in verschiedenen Hornmilbenarten; P. cephei n. sp. in Cepheus dentatus Michael (Cepheidae); P. platynothri n. sp. in Platynothrus peltifer C. L. Koch (Camisiidae); P. dindali n. sp. in Carabodes coriaceus C. L. Koch (Carabodidae); Thelohania microtritiae n. sp. in Microtritia minima Berlese (Euphtiracaridae); Nosema steganacari n. sp. in Steganacarus striculus C. L. Koch (Phtiracaridae); N. acari n. sp. in Damaeus onustus C. L. Koch and D. clavipes Hermann (Damaeidae), und N. führeri n. sp. in Phtiracarus globosus C. L. Koch (Phtiracaridae). Der nachgewiesene Mikrosporidienbefall betrug bei den meisten Wirtsarten 2–5%, nur bei Rhysotritia duplicata Grandjean (Euphtiracaridae) lag er bei 15% und M. minima 10%.",Thelohania microtritiae,Microtritia minima,lymphocytes,NA,lymphocytes,NA,NA,NA
Thelohania montirivulorum,"Thelohania montirivulorum sp. nov. (Microspora: Thelohaniidae), a parasite of the Australian freshwater crayfish, Cherax destructor (Decapoda: Parastacidae): fine ultrastructure, molecular characteristics and phylogenetic relationships. Thelohania montirivulorum sp. nov., a new species of microsporidian parasite, was found in a highland population of the Australian yabby, Cherax destructor. Data are presented on fine ultrastructure, developmental morphology and DNA sequence of the small subunit ribosomal DNA (SSU rDNA) and internal transcribed spacer region. The phylogenetic relationships of T. montrivulorum sp. nov. and other crayfish parasites in the genus Thelohania, based on the SSU rDNA sequence, are investigated. Fine ultrastructure, patterns of sporogony and SSU rDNA sequence similarities indicate T. montirivulorum sp. nov. is congeneric with T. parastaci, a parasite of lowland populations of C. destructor, and with T. contejeani, a parasite of European freshwater crayfish. SSU rDNA data suggests Thelohania species found in crustacean hosts are more closely related to the Vairimorpha/Nosema clade of species from insect and crustacean hosts than to the fire ant parasites, T. solenopsae and Thelohania sp.",Thelohania montirivulorum,Cherax destructor,muscle,NA,muscle,NA,NA,NA
Thelohania ostriniae,"Thelohania ostriniae n. sp., a new microsporidian parasite of the European corn borer Ostrinia nubilalis Hbn. (Lepidoptera, Pyralidae). Thelohania ostriniae n.sp. is described from the European corn borer, Ostrinia nubilalis, in southern France. The parasite invades the fat tissue of larvae and pupae of its host. The life-cycle of T. ostriniae is described. The fixed and stained spores measured 2.04 to 3.59 X 1.75 to 1.92 mu m. The new species differs from T. nana by the spore sizes. The host population was also heavily infected with Nosema pyraustae.",Thelohania ostriniae,Ostrinia nubilalis,adipose tissue,NA,adipose tissue,NA,fat tissue,NA
Toxospora volgae,"The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura. The ultrastructure of the octosporous microsporidium Toxopora volgae gen. n., sp. n. is studied. In the beginning of sporogony there is diplocaryon. Stages of sporogony are limited by thin and fragile envelope of the sporophorous vesicle. The C-from, 0.-0.8 times 6-8 mm l on spores have one elongated nucleus, a layered exospore and a polar tube of unusual construction. The polaroplast consists of two parts - anterior closely paked lamellae and posterior tube/chambered. The microsporidium is compared to Toxoglugea microsporidia. The taxonomic relations between the genera Toxoglugea and Toxospora are discussed.",Toxospora volgae,NA,fat body,NA,fat body,NA,NA,NA
Trachipleistophora hominis,"Myositis associated with a newly described microsporidian, Trachipleistophora hominis, in a patient with AIDS. Microsporidia are zoonotic protozoa which were rare human pathogens prior to 1985, when Enterocytozoon bieneusi was described in human immunodeficiency virus-infected patients with chronic diarrhea. Another species, Encephalitozoon (Septata) intestinalis, is associated with diarrhea and chronic sinusitis, and approximately 25 cases have been reported in the literature. However, other microsporidial infections in human immunodeficiency virus-infected patients remain extremely rare. We report the first case of a Pleistophora sp.-like microsporidian infection presenting as a progressive severe myosotis associated with fever and weight loss. The organism was demonstrated by light microscopy and electron microscopy in corneal scrapings, skeletal muscle, and nasal discharge. Electron microscopy showed an electron-dense surface coat with ''sun-flare''-like projections surrounding all stages of development of meronts (two to four nuclei, dividing by binary fission), sporonts, and sporoblasts. Division of sporonts, in which sporonts separate from the thick outer coat, creating a sporophorous vesicle, is by binary fission, differentiating this organism from Pleistophora sp. The spore measures 4.0 by 2.5 mu m and has a rugose exospore. A new genus and species, Trachipleistophora hominis, has been established for this parasite. The patient was treated with albendazole, sulfadiazine, and pyrimethamine, and the clinical symptoms resolved.",Trachipleistophora hominis,patient with AIDS,skeletal muscles; nasal sinus cavities; conjuctiva,NA,skeletal muscles; nasal sinus cavities; conjuctiva,NA,skeletal muscle; corneal,NA
Trachipleistophora sp.,"A Trachipleistophora-like microsporidium of man: Its dimorphic nature and relationship to Thelohania apodemi. The structure of the human microsporidium found by Yachnis and colleagues in two AIDS patients (Am. J. Clin. Pathol. 106: 535-43, 1996) (hereafter referred to as HMY) was investigated by light and transmission electron microscopy and compared with Thelohania apodemi Doby, Jeannes et Raoult, 1963, a microsporidian of small rodents. The fine structure of the HMY was found to be similar to that of Trachipleistophora hominis Hollister, Canning, Weldner, Field, Kench et Marriott, 1996. Characteristic is the presence of a thick layer of electron dense material on the outer face of the meront plasmalemma, which is maintained during the whole life cycle and which later persists as an electron dense coat on the sporophorous vesicle (SPOV). However, HMY is distinguished from T. hominis during sporogony, as two types of SPOV and spores are formed in HMY. One type of SPOV contains thick-walled spores (usually 8 or more in number) with anisofilar polar filaments of 7 + 2 pattern, while the other type contains only two thin-walled spores with a smaller number (3-5) of isofilar polar filament coils. The HMY differs from T. apodemi which also forms SPOV with 8 spores inside, but the spores of which are larger in size and have 9 + 2 polar filament pattern.",NA,AIDS patients,brain; kidney,NA,brain; kidney,NA,NA,NA
Trichonosema algonquinensis,"Trichonosema algonquinensis n. sp. (Phylum Microsporidia) in Pectinatella magnificd (Bryozoa: Phylactolaemata) from Algonquin Park, Ontario, Canada. A new species of microsporidian, Trichonosema algonquinensis, is described from a freshwater bryozoan, Pectinatella magnifica from Ontario, Canada. The parasite develops in epithelial cells and appears as white, spherical masses throughout the tissues. Trichonosema algonquinensis is diplokaryotic, diploblastic and undergoes development in direct contact with the cytoplasm of the host cell. Mature spores are ovoid, tapered at one end, and measure 8.5 ± 0.3 × 4.4 ± 0.1 μm. The polar filament is wound in 20 to 23 helical coils. Although the parasite resembles T. pectinatellae described from the same host in Michigan and Ohio, it differs in the length of the spore and number of coils of the polar filament. Analysis of 16S rDNA by maximum likelihood, parsimony and Baysian inference, complements the morphological data in supporting the placement of T. algonquinensis as a sister species of T. Pectinatellae.",Trichonosema algonquinensis,Pectinatella magnifica,epithelium,NA,epithelium,NA,NA,NA
Trichonosema pectinatellae,"New diplokaryotic microsporidia (Phylum Microsporidia) from freshwater bryozoans (Bryozoa, Phylactolaemata). Three new species of microsporidia from freshwater bryozoans were investigated by microscopy and rDNA sequencing. These microsporidia and the previously described Nosema cristatellae have been ascribed to new genera, Pseudonosema gen. nov. for N. cristatellae from Cristatella mucedo, Trichonosema gen. nov. for Trichonosema pectinatellae sp. nov. from Pectinatella magnifica and Bryonosema gen. nov. for Bryonosema plumatellae sp. nov. from Plumatella nitens and for Bryonosema tuftyi sp. nov. from Plumatella sp. The new genera have been placed in a new family Pseudonosematidae with the following characters: diplokaryotic, disporoblastic and development in direct contact with host cell cytoplasm; spores of known species large with numerous polar tube coils; exospore dense with spiky extensions; or without spiky extensions and constructed of one or two layers; endospore and exospore thinned over the anchoring disc; anchoring disc ovoid with denser boundary around lucent interior penetrated by the inner core of the polar tube; polar sac small, umbrella-like; polar tube coils arranged as a single row anteriorly and posteriorly and as 2 or 3 rows in the middle; prominent reticulate Golgi system in sporoblasts and immature spores. Analysis of 16S rDNA by Baysian inference, maximum likelihood and parsimony placed all four species from bryozoans in one clade but the genera Trichonosema and Pseudonosema were separated from Bryonosema by the genera Janacekia and Bacillidium, which, on morphological grounds, cannot be included in the new family. The species are identified by morphological characters and their small subunit rDNA sequences.",Trichonosema pectinatellae,Pectinatella magnifica,muscle,NA,muscle,NA,NA,NA
Trichotuzetia guttata,"Light and electron microscopic cytology of Trichotuzetia guttata gen. et. sp. n. (Microspora, Tuzetiidae), a microsporidian parasite of Cyclops vicinus Uljanin, 1875 (Crustacea, Copepoda). The microsporidium Trichotuzetia guttata gen. et sp. n., a parasite of the copepod Cyclops vicinus in the Czech Republic, is described based on light microscopic and ultrastructural characteristics. All life cycle stages have isolated nuclei. In the merogonial reproduction multinucleate plasmodia divide by plasmotomy, yielding uninucleate merozoites. Sporonts develop into multinucleate plasmodia, which split in a rosette-like manner, initially into wide lobes with large nuclei, finally into narrow lobes with small nuclei. Sporoblasts are formed in individual sporophorous vesicles generated by the sporogonial plasmodium. Immature sporogonial stages are covered by fibrillar projections uniting the exospore with the envelope of the sporophorous vesicle. Mature spores, which are pyriform with pointed anterior end, normally lack projections. Unfixed spores measure 4.6-5.7x2.7-3.3 urn. The exospore is four-layered. The anterior lamellae of the polaroplast are wide. The posterior ones (present in a short zone) are narrow close to the filament, wider at the periphery. The polar filament is isofilar with 9-10, 102-131 nm wide, coils in a single layer close to the spore wall in posterior half of the spore. The angle of tilt is 60-65°. Isometric, 21-25 nm wide virus-like particles were observed in the nuclei of mature spores. Experimental transmission of the microsporidium per os has failed. The small subunit rRNA gene has been sequenced and the data have been used in a phylogenetic analysis (PAUP). The species is compared to previously described microsporida of copepods, and the taxonomy is discussed.",Trichotuzetia guttata,Cyclops vicinus,oocytes; testes; systemic infection,NA,oocytes; testes; systemic infection,NA,NA,NA
Tricornia muhezae,"Ultrastructure of Tricornia muhezae N. G., n. sp. (Microspora, Thelohaniidae), a parasite of Mansonia africana (Diptera: Culicidae) from Tanzania. Collections of Mansonia africana mosquito larvae were made at one site in N.E. Tanzania in 1985 and 1987 and from two additional sites, both within about 2 mi of the original one in 1987. An octosporous microsporidian, present at all three sites, was found in both years infecting from 7 to 22% of larvae. Spores (stained in Giemsa) measured 3.0 microns +/- 0.25 microns x 2.25 microns +/- 0.26 microns. Ultrastructurally, spores were seen to have an anterior rim surrounding a depressed area where the endospore was at its thinnest. In transmission electron microscopy section, the rim appeared as two processes into which all layers of the wall extended. At the posterior end all layers of the wall extended into a simple knob-like structure which could be interpreted as a section through a crest running longitudinally around the spore. The polar filament was anisofilar, with two anterior coils of greater diameter than the three posterior coils. Although most closely resembling the genera Amblyspora and Parathelohania in the family Thelohaniidae, the species in M. africana differs from the former, which has oval spores, broadly rounded at the ends, and from the latter, which has a prominent, ridged posterior extension to the spores. The new species has been placed in a new genus and the name Tricornia muhezae proposed.",Tricornia muhezae,Mansonia africana,fat body; systemic infection,NA,fat body; systemic infection,NA,NA,NA
Tubulinosema hippodamiae (1),"Ultrastructure and molecular characterization of a microsporidium, Tubulinosema hippodamiae, from the convergent lady beetle, Hippodamia convergens Guérin-Méneville. Graphical abstract Research highlights ► The genomic sequence of the microsporidium was 98–99% similar to Tubulinosema. ► Pathogen ultrastructure is similar to those that define the genus Tubulinosema. ► Aberrant spores filled with lamellar or vesicular structures were observed. ► Host range and tissue pathology overlap with microsporidia from other coccinellids. ► This pathogen may be Nosema hippodamiae, described in 1959 by light microscopy. Abstract Hippodamia convergens, the convergent lady beetle, is available for aphid control in home gardens and in commercial food production systems throughout the United States and Canada. Beetles received from commercial insectaries for biological control are occasionally infected with a microsporidium. The objective of this study was to describe the pathogen by means of ultrastructure, molecular characterization and tissue pathology. All stages of the microsporidium were in direct contact with the host cell cytoplasm. Early developmental stages were proximal to mature spores and both were observed throughout the tissue sections that were examined. Merogony resulted from binary fission. Early-stage sporoblasts were surrounded by a highly convoluted plasma membrane and contained an electron-dense cytoplasm and diplokaryon. Ovoid to elongated late-stage sporoblasts were surrounded by a relatively complete spore wall. The polar filament, polaroplast, and anchoring disk were readily observed within the cell cytoplasm. Mature spores were typical of terrestrial microsporidia, with a thickened endospore surrounded by a thin exospore. Spores contained well-defined internal structures, including a diplokaryon, lamellar polaroplast and a slightly anisofilar polar filament with 10–14 coils arranged in a single or double row. A prominent indentation was evident at the apical end of the spore wall proximal to the anchoring disk. Aberrant spores were also observed. These had a fully developed endospore and exospore but lacked any discernable internal spore structures, and were, instead, filled with lamellar or vesicular structures. Typical and aberrant spores measured 3.58±0.2×2.06±0.2μm (n=10) and 3.38±0.8×2.13±0.2μm (n=10), respectively. Spores were observed in longitudinal muscle surrounding the midgut and within the fat body, Malpighian tubules, pyloric valve epithelium, ventral nerve cord ganglia, muscles and ovaries. The hindgut epithelium was often infected but the connective tissues were rarely invaded. The life cycle and pathology of the microsporidium bears some resemblance to Nosema hippodamiae, the only microsporidium reported from H. convergens by Lipa and Steinhaus in 1959. Molecular characterization of the pathogen genomic DNA revealed that it is 99% similar to Tubulinosema acridophagus and T. ratisbonensis, two pathogens that infect Drosophila melanogaster and 98% similar to T. kingi from D. willistoni. Based on similarities in pathogen ultrastructure and the molecular information gained during this study, we propose that the microsporidium in H. convergens be given the name Tubulinosema hippodamiae.",Tubulinosema hippodamiae,Hippodamia convergens,adipose; muscle; midgut; hindgut; nervous; Malphigian; epithelium; connective; ovarian; pyloric valve epithelium,NA,adipose; nervous; Malphigian; ovarian,NA,fat body; ovaries;  Malpighian tubules; ventral nerve cord ganglia,NA
Tubulinosema loxostegi,"Tubulinosema loxostegi sp. n. (Microsporidia: Tubulinosematidae) from the Beet Webworm Loxostege sticticalis L. (Lepidoptera: Crambidae) in Western Siberia. Adults of beet webworm Loxostege sticticalis were collected in Western Siberia in 2009 and 2010. A microsporidium was found infecting 12 of 50 moths in 2010. The parasite develops in direct contact with host cell cytoplasm, sporogony is presumably disporoblastic. The spores are ovoid, diplokaryotic, 4.2 × 2.4 µm in size (fresh), without a sporophorous vesicle. Electron microscopy showed: (a) tubules on the surface of sporoblasts and immature spores; (b) slightly anisofilar polar tube with 10–14 coils, last 2–3 coils of lesser electron density; (c) bipartite polaroplast with anterior and posterior parts composed of thin and thick lamellae, respectively; (d) an indentation in the region of the anchoring disc; (e) an additional layer of electron-dense amorphous matter on the exospore surface. The spore ultrastructure is characteristic of the genus Tubulinosema. Sequencing of small subunit and large subunit ribosomal RNA genes showed 98–99.6% similarity of this parasite to the Tubulinosema species available on Genbank. A new species Tubulinosema loxostegi sp. n. is established.",Tubulinosema loxostegi,Loxostege sticticalis,Adipose,NA,Adipose,NA,NA,NA
Tubulinosema maroccanus,"Specified ultrastructural data on Tubulinosema maroccanus Comb. Nov. (Nosema maroccanus Krilova et Nurzhanov, 1987) (Microsporidia) from the Moroccan locust Dociostaurus maroccanus (Orthoptera). Nosema maroccanus Krilova et Nurzhanov, 1987 was isolated from the Moroccan locust Dociostaurus maroccanus Thunb. in Uzbekistan. Its description, based on one of the first ultrastructural studies of microsporidia from orthopteran hosts, lacked information on the details of cell surface structure, which are considered to be very important in modern taxonomy. We have re-investigated the material upon which the original description of N. maroccanus was based and revealed new ultrastructural characters of its cell surface. Late meronts are surrounded with microtubuli, about 20 nm in diameter, attached to the membrane, later replaced with electron dense granules, forming a typical coating of the sporont's surface (the primordium of exospore). Mature spores are also surrounded with a layer of microtubuli. Host cell cytoplasm contains small vesicles with electron-dense cores, up to 50 nm in diameter, surrounding late meronts, sporogonial stages and spores of the parasite. Polar tube is slightly anisofilar. These characters disagree with the diagnosis of Nosema, but fit that of the recently established genus Tubulinosema. Hence, we transferred the species studied into this genus, establishing Tubulinosema maroccanus comb. nov. Analysis of cell surface ultrastructure of two Tubulinosema species from Orthoptera showed that they shared two characters not mentioned in the diagnosis of the genus. Therefore, the diagnosis of Tubulinosema was modified to include two more characters: presence of vesicles with electron-dense cores surrounding sporogonial stages and presence of microtubuli not only in late meronts, but also, in some species, in spores.",Tubulinosema maroccanus,Dociostaurus maroccanus,general,including germline tissues,general,including germline tissues,NA,NA
Tubulinosema ratisbonesis (Tubulinosema ratisbonensis),"Morphological and molecular investigations of Tubulinosema ratisbonensis gen. nov., sp. nov. (Microsporidia: Tubulinosematidae fam. nov.), a parasite infecting a laboratory colony of Drosophila melanogaster (Diptera: Drosophilidae). A new species of microsporidia from Drosophila melanogaster was investigated by light and electron microscopy and by ribosomal RNA (rRNA) sequencing. This microsporidium and the previously described Nosema kingi and Nosema acridophagus have been transferred to the new genus Tubulinosema gen. nov. with the following characters: nuclei are in diplokaryotic arrangement during the life cycle. All stages are in direct contact with the host cell cytoplasm, slightly anisofilar polar tube with the last coils being smaller in diameter arranged in one or two rows on both sides of the diplokaryon and small tubuli on the surface of late meronts. Spores are oval or slightly pyriform. Thick endospore wall, thinner over anchoring disc. This new genus and the genus Brachiola have been placed in a new family Tubulinosematidae fam. nov. Phylogenetic analysis of small subunit rRNA sequences by different methods placed Tubulinosema spp. in one clade with the genus Brachiola forming its sister clade, which is distant from the clade containing the true Nosema spp. including Nosema bombycis.",Tubulinosema ratisbonensis,Drosophila melanogaster,midgut; gonadal; neuronal; adipose,NA,midgut; gonadal; neuronal; adipose,NA,NA,NA
Tuzetia dualis,"Tuzetia dualis sp. n. (Microsporidia, Tuzetiidae) from the mayfly Cloeon dipterum L. (Insecta, Ephemeroptera) in Western Siberia. A new species of microsporidia . Tuzetia dualis sp. n., from the fat body of Cloeon dipterum (Insecta: Ephemeroptera), is described. The species possesses single nuclei throughout the life cycle and develops in direct contact with the host cell cytoplasm. Sporogony is poly- and disporoblastic and only one spore type is formed. Spores are oval and measure 4.2 x 2.8 [mu]m (after fixation and staining). The majority of spores are enclosed within individual sporophorous vesicles, as typical of the family Tuzetiidae. The polar tube is isofilar with 12-13 coils. The following features distinguish Tuzetia dualis n. sp. from other species of the genus Tuzetia: a) larger spore size; and b) presence of sporophorous vesicles with coupled spores. T. dualis is the third species of this genus found in C. Dipterum.",Tuzetia dualis,Cloeon dipterum,adipose,NA,adipose,NA,fat body,NA
Unikaryon phyllotretae (1),"A new microsporidian parasite record of Phyllotreta undulata (Chrysomelidae, Coleoptera). A new microsporidian parasite of Phyllotreta undulata was recorded in Turkey. Fresh are oval, 3.85 ± 0.69 μm (2.0-4.75) in length and 2.04 ± 0.23 μm (1.90-2.40) in width (n = 50). The spores are uninucleated. As there were insufficient data available on the complete life cycle of the parasite, it could not be identified at species level. © TÜBİTAK.",NA,Phyllotreta undulata,Malphigian,NA,Malphigian,NA,NA,NA
